"trait","median","lo","hi","pNA","mic","method"
"affinity",0.0361905085996127,0.0273457278764775,0.0469211620767786,0,"10","individual"
"mumax",1.50818916333333,1.34979569666667,1.67007035866667,0,"11","individual"
"ks",87.8490436283333,61.9890325,114.6515303,0,"11","individual"
"affinity",0.0171572289317828,0.0131045520867125,0.022070807006226,0,"11","individual"
"mumax",1.56027210283333,1.46178450666667,1.64990398,0,"12","individual"
"ks",43.4892261166667,33.12139,55.4871106666667,0,"12","individual"
"affinity",0.0358509765116907,0.028113373546969,0.04434354622542,0,"12","individual"
"mumax",1.58397668333333,1.46571483866667,1.69839490333333,0,"13","individual"
"ks",76.3865529333333,57.3739359666667,95.9744676666667,0,"13","individual"
"affinity",0.0207568672799228,0.016265687006985,0.0253813001938979,0,"13","individual"
"mumax",1.54389564,1.45905399666667,1.63057494466667,0,"14","individual"
"ks",40.571575,31.4076776666667,50.4765283666667,0,"14","individual"
"affinity",0.0380725013689645,0.0304315777028682,0.0463028919806074,0,"14","individual"
"mumax",1.50492840066667,1.39314024733333,1.60841504333333,0,"15","individual"
"ks",43.917157,31.1884726666667,59.7970434666667,0,"15","individual"
"affinity",0.034220129737524,0.0246738791759103,0.0439116503158639,0,"15","individual"
"mumax",1.605135774,1.51247108933333,1.700240808,0,"2","individual"
"ks",53.26989295,40.5304526333333,68.5271803333333,0,"2","individual"
"affinity",0.0301328156634631,0.023278802148618,0.0368003366659242,0,"2","individual"
"mumax",1.56713707013333,1.46537028966667,1.66432355,0,"3","individual"
"ks",50.08382165,37.2317869,66.7058269,0,"3","individual"
"affinity",0.0312636405945255,0.0232506877596979,0.039408679652502,0,"3","individual"
"mumax",1.45230895083333,1.333425545,1.573849997,0,"4","individual"
"ks",48.0957747333333,33.3026453333333,64.5166365466667,0,"4","individual"
"affinity",0.030237968367937,0.0225232740765884,0.0398708195857503,0,"4","individual"
"mumax",1.60741857166667,1.49395692333333,1.72616823666667,0,"5","individual"
"ks",59.5034105833333,44.8484668,76.0633043333333,0,"5","individual"
"affinity",0.0270107225791957,0.0214809546004228,0.0335888297078995,0,"5","individual"
"mumax",1.53889134766667,1.42830900333333,1.64457755183333,0,"6","individual"
"ks",63.40233045,46.6134845333333,84.3050313333333,0,"6","individual"
"affinity",0.0242319869214393,0.0184060657406595,0.0308610395082369,0,"6","individual"
"mumax",1.54201012406667,1.40246847051667,1.6871531,0,"7","individual"
"ks",64.6641537666667,44.1074893333333,86.1446531,0,"7","individual"
"affinity",0.0238488518470459,0.017793381282845,0.0313884197575167,0,"7","individual"
"mumax",1.57075544333333,1.47481646333333,1.66750195333333,0,"8","individual"
"ks",51.3476272166667,38.0158118666667,67.4196306666667,0,"8","individual"
"affinity",0.0305791877475337,0.0233561616700072,0.0386475488683251,0,"8","individual"
"mumax",1.43942181533333,1.35388589266667,1.52678557233333,0,"9","individual"
"ks",45.13431135,34.1583729666667,57.3121856666667,0,"9","individual"
"affinity",0.0318600377780015,0.025398863793353,0.0393170237674968,0,"9","individual"
"mumax",1.835175385,1.68634653866667,1.97875732066667,0,"all","individual"
"ks",99.2717405,76.0624584333333,122.764412333333,0,"all","individual"
"affinity",0.0184590025967402,0.0149907736293746,0.0222179864870344,0,"all","individual"
