"mic","trait","delta","lo","hi","excl0","pNA","method"
"10","affinity",0.00495771393448136,-0.00724906991206318,0.0168607442737217,FALSE,0,"individual"
"11","mumax",-0.0402786933333334,-0.223831661,0.143015913333334,FALSE,0,"individual"
"11","ks",38.0937320166667,9.10372557000001,67.3251145666667,TRUE,0,"individual"
"11","affinity",-0.0140083110638714,-0.0224533447443217,-0.00602553694297524,TRUE,0,"individual"
"12","mumax",0.0135630333333333,-0.118318186333333,0.14335982,FALSE,0,"individual"
"12","ks",-6.21160361666667,-23.0711307666667,10.7581563333333,FALSE,0,"individual"
"12","affinity",0.00467935782320006,-0.00600960817553822,0.0153045138387794,FALSE,0,"individual"
"13","mumax",0.0385502401666666,-0.112303026666666,0.17877419,FALSE,0,"individual"
"13","ks",26.6862637233333,4.47511166666667,50.9492449,TRUE,0,"individual"
"13","affinity",-0.0103848551750499,-0.0190797944242977,-0.00252987658165322,TRUE,0,"individual"
"14","mumax",-0.00279283016666676,-0.131594640666667,0.118342361666667,FALSE,0,"individual"
"14","ks",-9.12023600833333,-25.2384094,6.61749133333333,FALSE,0,"individual"
"14","affinity",0.00691592220704302,-0.00392527504132161,0.0174452203241328,FALSE,0,"individual"
"15","mumax",-0.0420906023333334,-0.183503916333333,0.0991505044666665,FALSE,0,"individual"
"15","ks",-5.48921508333333,-23.97565,14.416041,FALSE,0,"individual"
"15","affinity",0.00296360934448931,-0.00849771049874379,0.0148197164971182,FALSE,0,"individual"
"2","mumax",0.0596643698499998,-0.0808690760000002,0.186643977,FALSE,0,"individual"
"2","ks",3.63635296666667,-15.3936806666667,22.2805499,FALSE,0,"individual"
"2","affinity",-0.0010657102076777,-0.0105370418431786,0.0087370664510155,FALSE,0,"individual"
"3","mumax",0.0201003712,-0.120759025666666,0.151194815333333,FALSE,0,"individual"
"3","ks",0.372374319999995,-19.0230493333333,20.1192498666667,FALSE,0,"individual"
"3","affinity",0.00014208010852439,-0.0106773252141288,0.0107225209324019,FALSE,0,"individual"
"4","mumax",-0.0930629915849999,-0.247176257,0.0562652236666668,FALSE,0,"individual"
"4","ks",-1.5641045,-21.8297067666667,19.9072752333333,FALSE,0,"individual"
"4","affinity",-0.00088415968934321,-0.0114897216341863,0.0111139923388135,FALSE,0,"individual"
"5","mumax",0.0606331074999999,-0.0834150435000001,0.212816682666667,FALSE,0,"individual"
"5","ks",9.80926086666667,-9.81532453333332,30.8518276666667,FALSE,0,"individual"
"5","affinity",-0.00413104695923924,-0.0134351584823935,0.00518146988383658,FALSE,0,"individual"
"6","mumax",-0.00808900633333343,-0.143173226,0.143282329,FALSE,0,"individual"
"6","ks",13.73663415,-8.28160923333334,38.5576065,FALSE,0,"individual"
"6","affinity",-0.00690402374686454,-0.0162879515155565,0.00277791275173594,FALSE,0,"individual"
"7","mumax",-0.00600586083333321,-0.171862680333333,0.166049193333333,FALSE,0,"individual"
"7","ks",14.8384592833333,-10.4749953333333,39.2753869366667,FALSE,0,"individual"
"7","affinity",-0.00725032240868054,-0.0169848401470714,0.00274619385202759,FALSE,0,"individual"
"8","mumax",0.0228849749100002,-0.105377514333333,0.157146337333333,FALSE,0,"individual"
"8","ks",1.77156805,-17.2489284733333,22.142928,FALSE,0,"individual"
"8","affinity",-0.000583793352318831,-0.0107928570672355,0.01022633968446,FALSE,0,"individual"
"9","mumax",-0.1057185375,-0.239138660033333,0.0160440399999999,FALSE,0,"individual"
"9","ks",-4.45036668333334,-22.0479285,12.3400799,FALSE,0,"individual"
"9","affinity",0.000714584050776299,-0.00882316015941232,0.0109024620390028,FALSE,0,"individual"
"all","mumax",0.287569457333333,0.104422403333333,0.452927096666667,TRUE,0,"individual"
"all","ks",49.5123992,23.5499973,76.3363420933333,TRUE,0,"individual"
"all","affinity",-0.0126457706498538,-0.020309766687562,-0.00495888926021609,TRUE,0,"individual"
