"axis","trait","type","contrast","median","lo","hi","sig"
"salt","salt_tol","microbe_vs_none","mic_13",0.423,0.0607,0.779,TRUE
"salt","salt_tol","microbe_vs_none","mic_14",0.0312,-0.221,0.274,FALSE
"salt","salt_tol","microbe_vs_none","mic_15",0.051,-0.188,0.289,FALSE
"salt","salt_tol","microbe_vs_none","mic_2",0.627,0.274,1.01,TRUE
"salt","salt_tol","microbe_vs_none","mic_3",0.188,-0.0634,0.44,FALSE
"salt","salt_tol","microbe_vs_none","mic_4",0.317,-0.0156,0.68,FALSE
"salt","salt_tol","microbe_vs_none","mic_5",-0.102,-0.353,0.122,FALSE
"salt","salt_tol","microbe_vs_none","mic_6",0.0748,-0.155,0.322,FALSE
"salt","salt_tol","microbe_vs_none","mic_7",0.142,-0.158,0.467,FALSE
"salt","salt_tol","microbe_vs_none","mic_8",-0.0263,-0.257,0.204,FALSE
"salt","salt_tol","microbe_vs_none","mic_9",0.305,0.0239,0.599,TRUE
"salt","salt_tol","community_vs_none","all",0.0408,-0.23,0.301,FALSE
"salt","salt_tol","emergent_mean","all - mean(15)",-0.114,-0.314,0.0884,FALSE
"salt","salt_tol","emergent_sum","all - sum(15)",-2.28,-4.94,0.432,FALSE
"temperature","Tmax","microbe_vs_none","mic_1",0.272,-0.242,0.82,FALSE
"temperature","Tmax","microbe_vs_none","mic_10",0.0868,-0.457,0.633,FALSE
"temperature","Tmax","microbe_vs_none","mic_11",0.225,-0.323,0.738,FALSE
"temperature","Tmax","microbe_vs_none","mic_12",0.0467,-0.469,0.61,FALSE
"temperature","Tmax","microbe_vs_none","mic_13",0.229,-0.324,0.796,FALSE
"temperature","Tmax","microbe_vs_none","mic_14",0.198,-0.339,0.747,FALSE
"temperature","Tmax","microbe_vs_none","mic_15",0.111,-0.413,0.699,FALSE
"temperature","Tmax","microbe_vs_none","mic_2",0.272,-0.327,0.825,FALSE
"temperature","Tmax","microbe_vs_none","mic_3",0.237,-0.282,0.773,FALSE
"temperature","Tmax","microbe_vs_none","mic_4",0.183,-0.366,0.698,FALSE
"temperature","Tmax","microbe_vs_none","mic_5",0.0422,-0.511,0.593,FALSE
"temperature","Tmax","microbe_vs_none","mic_6",0.143,-0.355,0.68,FALSE
"temperature","Tmax","microbe_vs_none","mic_7",0.249,-0.28,0.8,FALSE
"temperature","Tmax","microbe_vs_none","mic_8",0.12,-0.477,0.651,FALSE
"temperature","Tmax","microbe_vs_none","mic_9",0.187,-0.29,0.707,FALSE
"temperature","Tmax","community_vs_none","all",0.205,-0.337,0.751,FALSE
"temperature","Tmax","emergent_mean","all - mean(15)",0.0292,-0.335,0.376,FALSE
"temperature","Tmax","emergent_sum","all - sum(15)",-2.41,-8.44,3.4,FALSE
"temperature","Tmin","microbe_vs_none","mic_1",-0.566,-2.72,1.56,FALSE
"temperature","Tmin","microbe_vs_none","mic_10",-1.07,-3.21,1.09,FALSE
"temperature","Tmin","microbe_vs_none","mic_11",-2.52,-9.67,1.76,FALSE
"temperature","Tmin","microbe_vs_none","mic_12",0.509,-1.95,2.71,FALSE
"temperature","Tmin","microbe_vs_none","mic_13",-0.258,-2.97,2.13,FALSE
"temperature","Tmin","microbe_vs_none","mic_14",-0.376,-2.64,1.9,FALSE
"temperature","Tmin","microbe_vs_none","mic_15",-1.28,-3.45,0.914,FALSE
"temperature","Tmin","microbe_vs_none","mic_2",-0.478,-3.24,2.29,FALSE
"temperature","Tmin","microbe_vs_none","mic_3",-0.94,-3.66,1.32,FALSE
"temperature","Tmin","microbe_vs_none","mic_4",-0.0116,-2.52,2.12,FALSE
"temperature","Tmin","microbe_vs_none","mic_5",-0.303,-2.36,1.73,FALSE
"temperature","Tmin","microbe_vs_none","mic_6",-0.788,-2.74,1.12,FALSE
"temperature","Tmin","microbe_vs_none","mic_7",-0.997,-3.48,1.25,FALSE
"temperature","Tmin","microbe_vs_none","mic_8",0.255,-1.89,2.21,FALSE
"temperature","Tmin","microbe_vs_none","mic_9",0.783,-1.45,2.81,FALSE
"temperature","Tmin","community_vs_none","all",-0.923,-4.29,2.14,FALSE
"temperature","Tmin","emergent_mean","all - mean(15)",-0.263,-3.42,2.42,FALSE
"temperature","Tmin","emergent_sum","all - sum(15)",8.45,-13.5,30,FALSE
"temperature","Topt","microbe_vs_none","mic_1",0.199,-0.467,0.901,FALSE
"temperature","Topt","microbe_vs_none","mic_10",-0.0629,-0.703,0.574,FALSE
