"mic","trait","delta","lo","hi","excl0","pNA","method"
"13","mu_max",-0.0339311258833334,-0.200603662666667,0.1383703958,FALSE,0,"individual"
"13","salt_tol",0.423218436441409,0.0607382118124686,0.778533770435525,TRUE,0,"individual"
"13","s_lim",2.67718849947621,0.638565240360374,6.56204128235981,TRUE,0.0425,"individual"
"14","mu_max",0.000777775516666801,-0.140293623333333,0.139862896333333,FALSE,0,"individual"
"14","salt_tol",0.0311896766463527,-0.221175856493059,0.273801116700927,FALSE,0,"individual"
"14","s_lim",0.00024743878422484,-0.739457928494787,0.718920478551028,FALSE,0,"individual"
"15","mu_max",0.0405329828333333,-0.101385256366667,0.18029696,FALSE,0,"individual"
"15","salt_tol",0.0510436754484559,-0.18753861589811,0.289180098078357,FALSE,0,"individual"
"15","s_lim",0.0278714341915864,-0.651104924851877,0.792508293315536,FALSE,0,"individual"
"2","mu_max",0.04015837185,-0.113675389,0.179838129333333,FALSE,0,"individual"
"2","salt_tol",0.626710310554344,0.273942576206853,1.01462978022562,TRUE,0,"individual"
"2","s_lim",2.10370233386319,0.888515141801672,3.44657899818299,TRUE,0,"individual"
"3","mu_max",0.0506310729833332,-0.0784484910000003,0.1837919416,FALSE,0,"individual"
"3","salt_tol",0.188288593044742,-0.0634014089316541,0.44033394663157,FALSE,0,"individual"
"3","s_lim",0.396722296225486,-0.31713677220899,1.12995408431364,FALSE,0,"individual"
"4","mu_max",-0.0445238358666666,-0.21902828,0.121719256666666,FALSE,0,"individual"
"4","salt_tol",0.317483414617308,-0.0156215298197553,0.67956971925827,FALSE,0,"individual"
"4","s_lim",1.99367580414571,0.128937105136149,4.94057539854649,TRUE,0.017625,"individual"
"5","mu_max",0.0940847675833333,-0.0603636213000003,0.242969721,FALSE,0,"individual"
"5","salt_tol",-0.102059164901001,-0.35295680790985,0.12154022364149,FALSE,0,"individual"
"5","s_lim",-0.282177977381052,-1.01037429411136,0.463629241345047,FALSE,0,"individual"
"6","mu_max",0.0144967133333334,-0.113182687666667,0.137700641866666,FALSE,0,"individual"
"6","salt_tol",0.0747731845516781,-0.155362798471661,0.32232097290045,FALSE,0,"individual"
"6","s_lim",-0.29596460551103,-0.98807081586306,0.4606663686313,FALSE,0,"individual"
"7","mu_max",-0.0110843489499999,-0.189183227666667,0.168126010333333,FALSE,0,"individual"
"7","salt_tol",0.142462266135723,-0.158411340678289,0.467179238985981,FALSE,0,"individual"
"7","s_lim",0.681827542502416,-0.215096280966213,1.70632238639636,FALSE,0,"individual"
"8","mu_max",0.0164597928333333,-0.1125437243,0.140660887206667,FALSE,0,"individual"
"8","salt_tol",-0.0263260603973775,-0.25736575099363,0.204180726030552,FALSE,0,"individual"
"8","s_lim",-0.114541879879625,-0.87238535074995,0.595300121881917,FALSE,0,"individual"
"9","mu_max",-0.115230749166667,-0.252541621666666,0.0221706196666667,FALSE,0,"individual"
"9","salt_tol",0.304536032902704,0.0238895165539856,0.599033244094841,TRUE,0,"individual"
"9","s_lim",0.852418630802783,0.0260562891723541,1.66765934606042,TRUE,0,"individual"
"all","mu_max",0.096435048965,-0.0580598613333334,0.249653033666667,FALSE,0,"individual"
"all","salt_tol",0.0408188640253194,-0.230034032301696,0.300994040473073,FALSE,0,"individual"
"all","s_lim",2.79151417023069,1.18551210513705,5.311622513226,TRUE,0.012,"individual"
