"","block","Chlamy","mic","temp","well.ID","r.exp"
"146",2,"y","1",39,"2.2.7",0.926627059121722
"147",2,"n","1",39,"2.3.3",-0.108466356137506
"148",2,"n","1",39,"2.5.1",-0.208703196056878
"149",1,"n","1",43,"1.1.7",-0.16119477815594
"150",1,"y","1",43,"1.4.2",-0.36084740963726
"151",1,"y","1",43,"1.6.3",-0.249960836251897
"152",1,"n","1",43,"2.1.8",-0.140044863071803
"153",1,"n","1",43,"2.2.3",-0.127807019857051
"154",1,"y","1",43,"2.4.7",-0.221054143852125
"155",2,"n","1",43,"1.3.8",-0.129543123971935
"156",2,"y","1",43,"1.3.9",-0.22758139072527
"157",2,"y","1",43,"1.6.7",-0.269728182150853
"158",2,"n","1",43,"2.2.2",-0.1302303434841
"159",2,"n","1",43,"2.5.3",-0.0624487613831517
"160",2,"y","1",43,"2.5.7",-0.200497026094331
"161",1,"y","2",8,"1.1.2",-0.0547274412680734
"162",1,"n","2",8,"1.2.2",-0.193155819459221
"163",1,"y","2",8,"1.2.5",0.051708354111251
"164",1,"n","2",8,"2.1.8",-0.233893346241371
"165",1,"n","2",8,"2.4.6",-0.179472544198876
"166",1,"y","2",8,"2.4.9",0.0331292491163207
"167",2,"n","2",8,"1.1.9",-0.0931488341682232
"168",2,"n","2",8,"1.6.5",-0.148368391057597
"169",2,"y","2",8,"1.6.10",0.153375322508338
"170",2,"y","2",8,"2.1.6",0.185575893934651
"171",2,"n","2",8,"2.6.2",-0.113186004218766
"172",2,"y","2",8,"2.6.9",0.216064294326856
"173",1,"y","2",14,"1.1.4",0.632020523414559
"174",1,"n","2",14,"1.1.6",-0.0602721697225026
"175",1,"n","2",14,"1.6.9",-0.197394788533608
"176",1,"y","2",14,"2.2.4",0.656834574265939
"177",1,"n","2",14,"2.3.7",-0.246647003287398
"178",1,"y","2",14,"2.5.2",0.710705188748251
"179",2,"n","2",14,"1.3.1",-0.128366822663696
"180",2,"n","2",14,"1.3.3",-0.0587817445861097
"181",2,"y","2",14,"1.5.8",-0.00704351840367251
"182",2,"y","2",14,"1.6.4",-0.0388274689221677
