"","Block","Mic","Chlamy","Parameter","mean","Rhat","n.eff"
"235",1,"11","n","cf.a",0.04657535768284,1.00516698589999,320
"236",1,"11","n","cf.b",-0.206681304797841,1.00130931744054,2000
"237",1,"11","n","cf.delta_t",20.8538511674955,1.0294818053758,210
"238",1,"11","n","cf.sigma",0.664370669809108,1.00171096689403,2000
"239",1,"11","n","cf.tmax",31.916653449618,1.00061020806721,2000
"240",1,"11","n","deviance",52.9740756116289,1.00169685599274,1300
"241",1,"11","y","cf.a",0.125574141552421,1.24218964688797,94
"242",1,"11","y","cf.b",-0.429032283774977,1.07078825783819,1200
"243",1,"11","y","cf.delta_t",7.49708475517721,1.26248352414877,23
"244",1,"11","y","cf.sigma",0.289434104276746,1.0006491683956,2000
"245",1,"11","y","cf.tmax",43.0255438992908,1.00925395912991,1800
"246",1,"11","y","deviance",8.25194191707066,1.00088688413428,2000
"247",2,"11","y","cf.a",0.0957828017858259,1.23653361847059,25
"248",2,"11","y","cf.b",-0.727129949565628,1.03569328405522,59
"249",2,"11","y","cf.delta_t",8.98433575560141,1.26792874867542,33
"250",2,"11","y","cf.sigma",0.332636729479805,1.00142430286305,1600
"251",2,"11","y","cf.tmax",43.5015009623267,1.00618889042085,260
"252",2,"11","y","deviance",14.7332463911001,1.00601471107324,380
"253",2,"11","n","cf.a",0.0792371430049947,7.75414076242205,2
"254",2,"11","n","cf.b",-0.101904546059212,1.02442202787795,70
"255",2,"11","n","cf.delta_t",16.1559046683431,7.76351518823709,2
"256",2,"11","n","cf.sigma",0.0724895242249371,1.00807566405496,220
"257",2,"11","n","cf.tmax",31.5380334510607,1.08409216490428,34
"258",2,"11","n","deviance",-66.8731776143119,1.09329147965573,21
"259",1,"12","n","cf.a",0.0456967581716433,1.00409138990259,500
"260",1,"12","n","cf.b",-0.138332816945216,1.01282806546889,680
"261",1,"12","n","cf.delta_t",22.7237185423373,1.04768739225219,1400
"262",1,"12","n","cf.sigma",0.523332943036299,1.00129466999445,1900
"263",1,"12","n","cf.tmax",25.753850010641,1.01062119368857,350
"264",1,"12","n","deviance",40.0818453791019,1.00139526518858,2000
"265",1,"12","y","cf.a",0.0705672725747795,1.44893838074999,7
"266",1,"12","y","cf.b",-0.903375340193921,1.27589905715002,9
"267",1,"12","y","cf.delta_t",8.18039600658785,1.40845102837319,7
"268",1,"12","y","cf.sigma",0.253100282919293,1.00464386848053,360
"269",1,"12","y","cf.tmax",43.6252517918678,1.13055178792819,19
"270",1,"12","y","deviance",0.872162542643106,1.02859456339273,58
"271",2,"12","n","cf.a",0.0482796911558433,1.00060889362386,2000
"272",2,"12","n","cf.b",-0.0985948636310149,1.01005455979105,770
"273",2,"12","n","cf.delta_t",21.8021694032557,1.00054031598946,2000
"274",2,"12","n","cf.sigma",0.258757986352415,1.00049837431301,2000
"275",2,"12","n","cf.tmax",29.9016489050869,1.00094545936689,2000
"276",2,"12","n","deviance",1.8517276685805,1.00071384160282,2000
"277",2,"12","y","cf.a",0.0962543813335225,1.19962329852398,26
"278",2,"12","y","cf.b",-0.595128646352386,1.0316129910343,56
"279",2,"12","y","cf.delta_t",9.09897610315586,1.21852826415622,71
"280",2,"12","y","cf.sigma",0.344427911611037,1.0010140228091,2000
"281",2,"12","y","cf.tmax",43.4203125085179,1.01942435268873,120
"282",2,"12","y","deviance",17.3453193406326,1.0009700014094,2000
"283",1,"13","n","cf.a",0.0453152446115345,1.00706492683736,1200
"284",1,"13","n","cf.b",-0.265289859787952,1.00167904703579,2000
"285",1,"13","n","cf.delta_t",20.2215301673995,1.00208409314892,2000
"286",1,"13","n","cf.sigma",0.813428250445543,1.00063158854157,2000
"287",1,"13","n","cf.tmax",31.5455713316593,1.00572827464492,1300
"288",1,"13","n","deviance",63.6884510481279,1.00082654337499,2000
"289",1,"13","y","cf.a",0.0774753115579711,1.14995398776275,24
"290",1,"13","y","cf.b",-0.899566646822792,1.02009767513895,85
"291",1,"13","y","cf.delta_t",9.49301429678658,1.23940730428385,21
"292",1,"13","y","cf.sigma",0.393738063722144,1.00333054151146,530
"293",1,"13","y","cf.tmax",43.512448661333,1.00898939050911,180
"294",1,"13","y","deviance",24.4693802901125,1.0065720682643,250
"295",2,"13","n","cf.a",0.0445889678953244,1.36645507817001,8
"296",2,"13","n","cf.b",-0.138838258140111,1.00636983318005,390
"297",2,"13","n","cf.delta_t",23.1036621083416,1.36527848427631,8
"298",2,"13","n","cf.sigma",0.0424140100672374,1.00078367170046,2000
"299",2,"13","n","cf.tmax",31.1069380553123,1.00146929037352,2000
"300",2,"13","n","deviance",-95.6929407076532,1.00747355291385,590
"301",2,"13","y","cf.a",0.0771988669178169,1.00701566664273,230
"302",2,"13","y","cf.b",-0.847843811305422,1.0043810855831,390
"303",2,"13","y","cf.delta_t",8.52638451039377,1.00227719124111,840
"304",2,"13","y","cf.sigma",0.384327311563278,1.00233323148685,820
"305",2,"13","y","cf.tmax",43.5257671629161,1.00308619202483,580
"306",2,"13","y","deviance",23.1874502728438,1.00060778101606,2000
"307",1,"14","y","cf.a",0.0772544038712051,1.0005991952893,2000
"308",1,"14","y","cf.b",-0.792681588356772,1.00212478342972,920
"309",1,"14","y","cf.delta_t",9.30715672484302,1.00049822314274,2000
"310",1,"14","y","cf.sigma",0.305520424366863,1.00060885414625,2000
"311",1,"14","y","cf.tmax",43.547318778818,1.00091898555814,2000
"312",1,"14","y","deviance",11.1350829316646,1.00052729686049,2000
"313",1,"14","n","cf.a",0.0439204402366166,1.00943201269293,1900
"314",1,"14","n","cf.b",-0.219266383921162,1.01164155884518,720
"315",1,"14","n","cf.delta_t",21.9083061696056,1.04903878783176,270
"316",1,"14","n","cf.sigma",0.757067416503268,1.00054285042771,2000
"317",1,"14","n","cf.tmax",30.1134422689309,1.00327463946734,740
"318",1,"14","n","deviance",59.7654454191375,1.00078326063936,2000
"319",2,"14","y","cf.a",0.085513410383849,1.00093247837245,2000
"320",2,"14","y","cf.b",-0.763022836610243,1.00192659549468,1100
"321",2,"14","y","cf.delta_t",7.56633911319632,1.00097032447014,2000
"322",2,"14","y","cf.sigma",0.384369726609254,1.00064133524751,2000
"323",2,"14","y","cf.tmax",43.4740471159585,1.00333693156755,530
"324",2,"14","y","deviance",23.4226088380867,1.00083214597538,2000
"325",2,"14","n","cf.a",0.0495886998834502,1.0841583107734,40
"326",2,"14","n","cf.b",-0.104253388708474,1.00049812435281,2000
"327",2,"14","n","cf.delta_t",21.5669932314159,1.09189518756445,39
"328",2,"14","n","cf.sigma",0.246580726757304,1.00267228197764,690
"329",2,"14","n","cf.tmax",30.4277674844738,1.00268608534133,690
"330",2,"14","n","deviance",-0.36169240813535,1.00282627332931,650
"331",1,"15","y","cf.a",0.0674871974951274,1.00061884834271,2000
"332",1,"15","y","cf.b",-0.900190034200169,1.00149257753845,1500
"333",1,"15","y","cf.delta_t",8.23074142723774,1.00073555564924,2000
"334",1,"15","y","cf.sigma",0.412962051406372,1.00101703344073,2000
"335",1,"15","y","cf.tmax",43.3558899258171,1.00218970583551,1000
"336",1,"15","y","deviance",27.2399265819873,1.00541930226969,600
"337",2,"15","n","cf.a",0.0446252757268986,1.00126337985375,2000
"338",2,"15","n","cf.b",-0.0981342319884464,1.00050829981688,2000
"339",2,"15","n","cf.delta_t",22.9900362191116,1.00099316467909,2000
"340",2,"15","n","cf.sigma",0.207269902327735,1.00212079221933,930
"341",2,"15","n","cf.tmax",29.9043785955396,1.02612982231201,200
"342",2,"15","n","deviance",-10.1117393249897,1.00109496158438,2000
"343",2,"15","y","cf.a",0.0723079972132634,1.01027854387845,150
"344",2,"15","y","cf.b",-0.876213834017257,1.00900113698893,230
"345",2,"15","y","cf.delta_t",6.88485533104967,1.00348678823998,500
"346",2,"15","y","cf.sigma",0.539865264333334,1.00107015085172,2000
"347",2,"15","y","cf.tmax",43.4337733034483,1.01041252297253,190
"348",2,"15","y","deviance",35.6038606818753,1.00140061443018,1700
"349",1,"all","n","cf.a",0.0421806016842591,1.00493715614765,1400
"350",1,"all","n","cf.b",-0.337474950206138,1.00060551111142,2000
"351",1,"all","n","cf.delta_t",18.4930473485811,1.00457303058794,2000
"352",1,"all","n","cf.sigma",0.686559724239807,1.00071884989971,2000
"353",1,"all","n","cf.tmax",37.775272346677,1.00064063242027,2000
"354",1,"all","n","deviance",54.5538766172408,1.0011812743112,2000
"355",1,"all","y","cf.a",0.0742701708760601,1.00265893731935,1400
"356",1,"all","y","cf.b",-0.901287047231492,1.00216652910838,2000
"357",1,"all","y","cf.delta_t",7.53841978911458,1.00627190613801,260
"358",1,"all","y","cf.sigma",0.456570618352289,1.00152567989538,1500
"359",1,"all","y","cf.tmax",43.5397454755285,1.00652040056136,830
"360",1,"all","y","deviance",31.2360602814255,1.00093916866739,2000
"361",2,"all","y","cf.a",0.1081584515071,1.22995241739493,18
"362",2,"all","y","cf.b",-0.617516523008936,1.06211736736624,33
"363",2,"all","y","cf.delta_t",8.38307989151852,1.16977156390558,290
"364",2,"all","y","cf.sigma",0.337674491151705,1.00133746385551,1800
"365",2,"all","y","cf.tmax",43.3513609017695,1.02910597951374,60
"366",2,"all","y","deviance",14.6229539492101,1.01246702204099,210
"367",2,"all","n","cf.a",0.0446959778060675,1.08224631286376,33
"368",2,"all","n","cf.b",-0.10461499653679,1.00228947520878,2000
"369",2,"all","n","cf.delta_t",22.7358501459563,1.08854490372998,32
"370",2,"all","n","cf.sigma",0.237851029107793,1.00051136414564,2000
"371",2,"all","n","cf.tmax",32.4976694922872,1.00346459462048,2000
"372",2,"all","n","deviance",-2.60509977567683,1.00314288796301,2000
