"","block","mic","rep","id","Parameter","mean","Rhat","n.eff"
"29",1,"10",3,"b1.m10","deviance",12.3985268082334,1.00090181172854,6000
"30",1,"10",3,"b1.m10","r_max",1.52062542295623,1.00073260886283,6000
"31",1,"7",3,"b1.m7","K_s",32.4929547136366,1.00115484093172,5300
"32",1,"7",3,"b1.m7","deviance",24.3512014200293,1.00074081446799,6000
"33",1,"7",3,"b1.m7","r_max",1.5289463356684,1.00118082044353,5100
"34",1,"none",3,"b1.mnone","K_s",27.3991742318305,1.00131013357081,4300
"35",1,"none",3,"b1.mnone","deviance",6.01873591974022,1.00076230721082,6000
"36",1,"none",3,"b1.mnone","r_max",1.58842029482231,1.00163516775948,3100
"37",1,"9",2,"b1.m9","K_s",25.3671397907984,1.00072767566059,6000
"38",1,"9",2,"b1.m9","deviance",-7.74838517904845,1.001789964178,2700
"39",1,"9",2,"b1.m9","r_max",1.33687006656659,1.00103611881943,6000
"40",1,"5",3,"b1.m5","K_s",36.5200931886874,1.00098481762718,6000
"41",1,"5",3,"b1.m5","deviance",9.5814787034806,1.00126803567515,4600
"42",1,"5",3,"b1.m5","r_max",1.63379290908787,1.00079264810121,6000
"43",1,"1",2,"b1.m1","K_s",31.5063454071905,1.00070362205719,6000
"44",1,"1",2,"b1.m1","deviance",20.1053069973465,1.00131518438545,4300
"45",1,"1",2,"b1.m1","r_max",1.34776031158533,1.00082128110061,6000
"46",1,"8",3,"b1.m8","K_s",35.0915057273047,1.00078669680083,6000
"47",1,"8",3,"b1.m8","deviance",-0.578899636409654,1.00136049535334,4100
"48",1,"8",3,"b1.m8","r_max",1.62834184811467,1.00067672329472,6000
"49",1,"6",1,"b1.m6","K_s",28.9686733312303,1.00073711182465,6000
"50",1,"6",1,"b1.m6","deviance",9.39464609418142,1.00062213061438,6000
"51",1,"6",1,"b1.m6","r_max",1.39167846945767,1.00073655881839,6000
"52",3,"8",2,"b3.m8","K_s",54.3768851929635,1.00182965998091,2600
"53",3,"8",2,"b3.m8","deviance",-12.761855274132,1.00188517309378,2500
"54",3,"8",2,"b3.m8","r_max",1.53191548790414,1.00078828948942,6000
"55",3,"6",2,"b3.m6","K_s",56.6564168054137,1.00100151185239,6000
"56",3,"6",2,"b3.m6","deviance",-17.0559098231606,1.00140716750166,3900
"57",3,"6",2,"b3.m6","r_max",1.49568215122144,1.00084941769055,6000
"58",3,"11",2,"b3.m11","K_s",55.2581235564892,1.00371277891948,2200
"59",3,"11",2,"b3.m11","deviance",15.9809947830846,1.00197882854886,2400
"60",3,"11",2,"b3.m11","r_max",1.52091958590518,1.00061221057411,6000
"61",3,"none",2,"b3.mnone","K_s",55.2005822246299,1.00073689009867,6000
"62",3,"none",2,"b3.mnone","deviance",-16.2483390237218,1.00080656522774,6000
"63",3,"none",2,"b3.mnone","r_max",1.52131883402194,1.00097851994669,6000
"64",3,"all",1,"b3.mall","K_s",55.0958507533516,1.00063361071502,6000
"65",3,"all",1,"b3.mall","deviance",23.9848460177355,1.00072057109047,6000
"66",3,"all",1,"b3.mall","r_max",1.72349829859978,1.00128561587086,4400
"67",3,"2",3,"b3.m2","K_s",56.0160743768662,1.00113823474544,5500
"68",3,"2",3,"b3.m2","deviance",-14.9566675242707,1.00063478664132,6000
"69",3,"2",3,"b3.m2","r_max",1.58876609639565,1.00075419910385,6000
"70",3,"9",2,"b3.m9","K_s",55.9153528559404,1.00079927613153,6000
"71",3,"9",2,"b3.m9","deviance",-15.0087912687986,1.00139661290015,3900
"72",3,"9",2,"b3.m9","r_max",1.53592174780461,1.00063417090177,6000
"73",3,"12",1,"b3.m12","K_s",55.5257080068913,1.00056520797399,6000
"74",3,"12",1,"b3.m12","deviance",-12.8177760732739,1.00114716722945,5400
"75",3,"12",1,"b3.m12","r_max",1.50982619417158,1.00069740608973,6000
"76",1,"all",1,"b1.mall","K_s",53.812734371909,1.00087075488646,6000
"77",1,"all",1,"b1.mall","deviance",3.48349148875242,1.00064125158483,6000
"78",1,"all",1,"b1.mall","r_max",1.64961309424744,1.00112380730581,5600
"79",1,"4",3,"b1.m4","K_s",19.4572903706213,1.00073270628164,6000
"80",1,"4",3,"b1.m4","deviance",-0.0304152673614251,1.0013410310347,4200
"81",1,"4",3,"b1.m4","r_max",1.21955993305241,1.00124082285743,4700
"82",1,"3",1,"b1.m3","K_s",22.3271326190999,1.00219701287211,2100
