"","block","mic","rep","id","T.min","T.min.min","T.min.max","T.min.na","T.max","T.max.min","T.max.max","T.max.na","T.opt","T.opt.min","T.opt.max","r.max","r.max.min","r.max.max","T.br.min","T.br.min.min","T.br.min.max","T.br.min.na","T.br.max","T.br.max.min","T.br.max.max","T.br.max.na","a","b","tmax","d.t","a.mod","b.mod","tmax.mod","d.t.mod"
"11",1,"14",1,"b1.m14.r1",4.88979455606337,-1.69546653663061,10.5662275635528,0,42.770408838566,41.9451762340481,43.7232068192985,0,32.5549852665465,31.473999475306,33.5659223019571,1.79348076996738,1.56011796620885,1.99587589543839,18.0085863162289,15.0078260515102,20.7870287182041,0,40.3690502914745,39.5456428110115,41.2509309495373,0,0.0491181072808213,-1.21171976950861,44.8997041126641,8,0.0490970031201033,-1.21275356676966,44.8803177399411,8
"12",1,"12",2,"b1.m12.r2",6.1013055410678,1.19522799469415,10.9820707127902,0,42.4910121589917,41.9284996589369,42.8114994971722,0,33.4029660507141,32.1982635993565,34.8145012361921,1.9702974108685,1.77344162902546,2.1275320398071,19.6649758610385,17.7069788290037,21.5159509342599,0,40.39768056645,39.7112697665482,40.9908826648417,0,0.0455424084204639,-1.29252079913387,44.2739460202953,6.19344623085986,0.045574927745649,-1.31959651997805,44.2742720996168,6.20233975693858
"13",1,"15",3,"b1.m15.r3",-0.157815056419101,-14.8474670391099,7.58110170618168,0,41.9809022066218,41.3018133640969,43.206411945204,0,31.2234861911425,29.5917084665313,32.718825501232,1.60108960428065,1.36953170666159,1.87336721379047,15.2175860956158,9.57726082021177,18.9534099582789,0,39.4669755254056,38.7744260932442,40.7087537705311,0,0.0440606958324215,-0.965712522672778,43.9947838302859,8,0.0439436709838152,-0.951901995825743,44.0759055865486,8
"14",1,"none",2,"b1.mnone.r2",3.34686114235212,-6.17116427339273,9.85856856597832,0,42.2143098506396,41.4875643791906,43.266847158054,0,31.8305295609119,30.4531122482703,33.0268248053686,1.62068937490147,1.39530207522762,1.8839826422746,16.8715051454223,12.6547010256001,20.1604831041714,0,39.7628348205426,38.9802072756927,40.7601226430868,0,0.0460779146834846,-1.12029200400803,44.4184369420946,8,0.046059914946328,-1.1146740382971,44.4516161249345,8
"15",1,"11",3,"b1.m11.r3",7.6437017904149,-3.28098165446385,12.2638973719236,0,42.6501615958411,42.2612298702224,43.5858947546629,0,35.3818614850663,33.7361405523676,38.2753488027888,1.95476066513457,1.71702851564626,2.33809442718704,22.0808279302044,18.8484011424572,25.4993924019173,0,41.0716779860464,40.3575019657684,42.0479231841856,0,0.0381603736438144,-1.34090567684394,43.9994269390145,3.89439967848734,0.0377965750754187,-1.31016348756328,44.0136694604134,3.77464536337764
"16",1,"10",1,"b1.m10.r1",1.60973523893094,-6.75096704074837,8.63174022502351,0,42.6567752350467,41.9539487126299,43.2254253230041,0,32.9016723615124,31.5544438387738,34.6451223806733,1.85484444421462,1.63892467732356,2.02762206488287,17.4819507997122,14.3034093056974,19.8754253976183,0,40.4217712941186,39.7103118893736,41.1017911326466,0,0.0429848302203194,-1.05382989610701,44.3383336584461,6.62967745715177,0.0425932592894255,-1.09204574868332,44.3716598586353,6.49848185330974
"17",1,"9",2,"b1.m9.r2",-0.50683031577626,-17.8736789831222,10.1269529884243,0,42.5998334056139,41.9120458129497,43.3967291627675,0,33.7127146296116,31.8479160185469,36.0420554887594,1.73048681178427,1.49850923890995,1.97928048283099,17.7141136725819,12.7495801035178,22.3147288380724,0,40.693318595152,39.776214834964,41.6381897041821,0,0.0354070908276199,-0.976300745564937,44.0059589584409,4.87670570063896,0.0352743946970778,-0.985755257335274,44.0797494173806,4.94037135405108
"18",1,"1",1,"b1.m1.r1",1.97052684065574,-4.86178156457859,7.13332000680147,0,42.7179092190663,42.0836888091437,43.3519192142207,0,32.202723822186,31.3276040096431,33.0644962815232,1.85409679020521,1.67762074688485,2.0272848066246,16.7909635174931,14.200025250147,19.3010222799598,0,40.2504144609518,39.6209527425885,40.8621764448758,0,0.0483903932183941,-1.05749833840189,44.5904737766545,8,0.0484464867524129,-1.06669135963438,44.6030296848542,8
"19",1,"11",1,"b1.m11.r1",-30.7925960217757,-46.0604375758263,-20.3444641925096,0,42.5966300014988,42.1223859292566,43.2244917829308,0,35.9503043683025,34.6666328269378,37.2505254680269,2.08701315378479,1.76592670987174,2.41517612447214,24.8250309521682,21.236544588405,27.7906598547394,0,41.0252801477372,40.4497244184562,41.6398472065804,0,0.150178290979825,-0.001,42.5977706301977,6.59716893128981,0.149093108090406,-0.001,42.5834472225631,6.64139165866153
"20",1,"12",1,"b1.m12.r1",1.9183144129098,-2.36750288709552,7.1857636484513,0,42.4148959621546,41.7832403405598,42.7561166961442,0,31.9832821980972,31.3257309759968,32.755025914447,1.88574619716263,1.72107561230386,2.02137321511515,16.6399192606123,14.6775863184988,18.9502487256804,0,39.9796807551479,39.4094981920777,40.3314070342753,0,0.0495723391287405,-1.05440618379292,44.2818998608263,8,0.0495734679402396,-1.06683550573473,44.2315566289509,8
