"","block","mic","rep","id","Parameter","est","se","p"
"31",1,"2",2,"b1.m2.r2","tmax",44.082575983584,0.943287089487816,8.47344959848992e-08
"32",1,"2",2,"b1.m2.r2","delta_t",8,8.49450153540753,0.389543386595116
"33",1,"7",2,"b1.m7.r2","a",0.0327459778981868,0.0125907736645125,0.0482032885285529
"34",1,"7",2,"b1.m7.r2","b",-0.936767853843869,0.505740198017885,0.123188561753351
"35",1,"7",2,"b1.m7.r2","tmax",43.6816508330358,1.13583526796549,2.23998121746062e-07
"36",1,"7",2,"b1.m7.r2","delta_t",3.7863685061488,3.21859852676843,0.292386693711437
"37",1,"7",3,"b1.m7.r3","a",0.041295349453375,0.00648097543160722,0.00140836450463367
"38",1,"7",3,"b1.m7.r3","b",-1.1075313231577,0.160222902952578,0.000971363271565651
"39",1,"7",3,"b1.m7.r3","tmax",44.3771069528273,0.482048501373242,2.86690778545936e-09
"40",1,"7",3,"b1.m7.r3","delta_t",5.8784434218315,1.62890903812942,0.0153994961658392
"41",1,"14",1,"b1.m14.r1","a",0.0490970031201033,0.0356016720895274,0.226371689717998
"42",1,"14",1,"b1.m14.r1","b",-1.21275356676966,0.242974305001793,0.00413548843078874
"43",1,"14",1,"b1.m14.r1","tmax",44.8803177399411,1.06253862161524,1.40327664880428e-07
"44",1,"14",1,"b1.m14.r1","delta_t",8,7.14759055780943,0.313897042452149
"45",1,"12",2,"b1.m12.r2","a",0.045574927745649,0.0115470413760966,0.0108845299982694
"46",1,"12",2,"b1.m12.r2","b",-1.31959651997805,0.25850527458468,0.00375517899360488
"47",1,"12",2,"b1.m12.r2","tmax",44.2742720996168,0.690123129215025,1.74200629640553e-08
"48",1,"12",2,"b1.m12.r2","delta_t",6.20233975693858,2.66409167856966,0.0673683056156297
"49",1,"15",3,"b1.m15.r3","a",0.0439436709838152,0.0394023188044492,0.315454115077147
"50",1,"15",3,"b1.m15.r3","b",-0.951901995825743,0.309689865086896,0.0276662551792063
"51",1,"15",3,"b1.m15.r3","tmax",44.0759055865486,1.15585712362842,2.33681160663487e-07
"52",1,"15",3,"b1.m15.r3","delta_t",8,8.3249660448552,0.380704031611588
"53",1,"none",2,"b1.mnone.r2","a",0.046059914946328,0.0380777563117389,0.280488484249063
"54",1,"none",2,"b1.mnone.r2","b",-1.1146740382971,0.283177408860371,0.0110004867792789
"55",1,"none",2,"b1.mnone.r2","tmax",44.4516161249345,1.1412346221783,2.1022221193798e-07
"56",1,"none",2,"b1.mnone.r2","delta_t",8,7.92396186750444,0.359021591247525
"57",1,"11",3,"b1.m11.r3","a",0.0377965750754187,0.00710815442850346,0.00314697603891896
"58",1,"11",3,"b1.m11.r3","b",-1.31016348756328,0.321568940026494,0.00959350357033119
"59",1,"11",3,"b1.m11.r3","tmax",44.0136694604134,0.740246721913641,2.5464381246049e-08
"60",1,"11",3,"b1.m11.r3","delta_t",3.77464536337764,1.89726776395311,0.103313819284682
"61",1,"10",1,"b1.m10.r1","a",0.0425932592894255,0.0144776295361293,0.0321818300713248
"62",1,"10",1,"b1.m10.r1","b",-1.09204574868332,0.279493336797144,0.0113264771903967
"63",1,"10",1,"b1.m10.r1","tmax",44.3716598586353,0.881352596529318,5.84372587781853e-08
"64",1,"10",1,"b1.m10.r1","delta_t",6.49848185330974,3.47464475812224,0.1203736271703
"65",1,"9",2,"b1.m9.r2","a",0.0352743946970778,0.0113541210073331,0.0266487066260716
"66",1,"9",2,"b1.m9.r2","b",-0.985755257335274,0.351640611859601,0.0378458564750082
"67",1,"9",2,"b1.m9.r2","tmax",44.0797494173806,1.01801507377988,1.23993995971885e-07
"68",1,"9",2,"b1.m9.r2","delta_t",4.94037135405108,3.00994572551118,0.16164833569033
"69",1,"1",1,"b1.m1.r1","a",0.0484464867524129,0.0294325721632233,0.160678804358635
"70",1,"1",1,"b1.m1.r1","b",-1.06669135963438,0.204677209303214,0.00343382218672567
"71",1,"1",1,"b1.m1.r1","tmax",44.6030296848542,0.823045520996526,4.04592885930078e-08
"72",1,"1",1,"b1.m1.r1","delta_t",8,5.87376165695518,0.231351312666647
"73",1,"11",1,"b1.m11.r1","a",0.149093108090406,0.033594974438307,0.00677771498583786
"74",1,"11",1,"b1.m11.r1","b",-0.001,0.400629895481946,0.998104953119641
"75",1,"11",1,"b1.m11.r1","tmax",42.5834472225631,0.580012855492814,8.88024625640046e-09
"76",1,"11",1,"b1.m11.r1","delta_t",6.64139165866153,1.39861010148428,0.00511102789544419
"77",1,"12",1,"b1.m12.r1","a",0.0495734679402396,0.025775469892883,0.112454650756559
"78",1,"12",1,"b1.m12.r1","b",-1.06683550573473,0.173507885200884,0.00165419905485019
"79",1,"12",1,"b1.m12.r1","tmax",44.2315566289509,0.59416207308112,8.28567894951658e-09
"80",1,"12",1,"b1.m12.r1","delta_t",8,4.87247535724866,0.161538578685388
"81",1,"all",3,"b1.mall.r3","a",0.0420683173031987,0.0171313163931907,0.057536168114762
"82",1,"all",3,"b1.mall.r3","b",-1.20133919034511,0.476076239960937,0.0529533619314785
"83",1,"all",3,"b1.mall.r3","tmax",44.1589689752289,1.23955618986747,3.28005317852746e-07
"84",1,"all",3,"b1.mall.r3","delta_t",5.58735828790163,4.19425640293778,0.24030143042742
"85",1,"14",2,"b1.m14.r2","a",0.0544073185081426,0.0362744190060272,0.193933271864446
"86",1,"14",2,"b1.m14.r2","b",-1.20858622443587,0.215707331162963,0.00250249371149977
"87",1,"14",2,"b1.m14.r2","tmax",44.0511616712197,0.578321065592075,7.38857071355116e-09
"88",1,"14",2,"b1.m14.r2","delta_t",8,6.02411534001383,0.241571012188494
"89",1,"3",3,"b1.m3.r3","a",0.0507016305065507,0.0270328560215542,0.119557175559122
"90",1,"3",3,"b1.m3.r3","b",-1.307924969228,0.176188188351176,0.000698775507264104
"91",1,"3",3,"b1.m3.r3","tmax",44.9243649193433,0.751488184362991,2.47858457776257e-08
"92",1,"3",3,"b1.m3.r3","delta_t",8,5.24028465582207,0.187379427964695
"93",1,"3",1,"b1.m3.r1","a",0.0502846168974185,0.0154265323642285,0.0224551454948656
"94",1,"3",1,"b1.m3.r1","b",-1.12061633163494,0.101742742839726,0.000107380374367035
"95",1,"3",1,"b1.m3.r1","tmax",44.3897147149947,0.361060745368577,6.75282757032586e-10
"96",1,"3",1,"b1.m3.r1","delta_t",8,2.90243338508073,0.0400095240273405
"97",1,"10",3,"b1.m10.r3","a",0.0475791844569229,0.0361671154108385,0.245420498403261
"98",1,"10",3,"b1.m10.r3","b",-1.11248007362718,0.257827711498325,0.00760781866455533
