"","mic","nit","well.ID","r.exp"
"484","all",700,"6.2.3",0.837075469905111
"485","all",700,"11.1.1",1.931587253937
"486","all",700,"12.3.5",1.59651206989301
"487","all",25,"11.1.5",0.585704024908152
"488","all",25,"13.1.5",0.498644863464752
"489","all",25,"18.5.1",0.499219184330831
"490","all",1,"2.5.5",-0.207774133521658
"491","all",1,"17.1.3",-0.150651194431541
"492","all",1,"18.3.2",-0.153200753605919
"493","all",0,"1.5.3",-0.17923218567222
"494","all",0,"18.3.5",-0.190327539085597
"495","all",0,"27.1.3",-0.167186936902766
"496","all",100,"2.2.9",0.713781719633726
"497","all",100,"9.4.8",1.40459153703606
"498","all",100,"22.1.4",1.37661226848804
"499","all",1000,"10.6.2",2.1013305473362
"500","all",1000,"24.2.8",1.68099846846625
"501","all",1000,"29.1.8",2.02660681714751
"502","all",400,"21.3.4",1.62276737419508
"503","all",400,"25.2.8",2.0276196509792
"504","all",400,"27.1.5",1.82076041795117
"505","all",10,"25.1.7",-0.150867313624451
"506","all",10,"25.6.10",0.358548235030634
"507","all",10,"26.2.4",0.601717060698995
"508","all",50,"7.2.9",1.11498644673733
"509","all",50,"13.5.3",0.755299904519523
"510","all",50,"32.3.7",1.06281072949353
