"","mic","temp","well.ID","r.exp"
"229","8",30,"8.5.4",1.62804794376603
"230","8",30,"10.3.10",1.6251212519382
"231","8",30,"24.3.7",1.44556091567635
"232","8",33,"1.4.6",1.82611754586288
"233","8",33,"1.5.3",1.50572598528688
"234","8",33,"2.1.9",2.0369116204296
"235","8",35,"1.5.5",0.380390197407093
"236","8",35,"2.1.6",1.93475602227335
"237","8",35,"2.4.5",1.69341542673189
"238","8",39,"1.4.5",0.377683220422156
"239","8",39,"1.6.2",1.24678058854431
"240","8",39,"2.6.9",1.41890104679529
"241","8",43,"1.3.4",-0.441329812377738
"242","8",43,"1.3.7",-0.317715987405139
"243","8",43,"1.5.10",-0.306098034675031
"244","9",8,"1.4.3",0.00653639411963932
"245","9",8,"1.6.1",0.0321317862997579
"246","9",8,"2.4.1",0.112470532970675
"247","9",14,"2.3.5",0.589941934571657
"248","9",14,"2.4.9",0.605279602527636
"249","9",14,"2.6.10",0.254348510690816
"250","9",20,"1.2.10",1.00460644752014
"251","9",20,"1.6.7",0.256601483368884
"252","9",20,"2.4.2",1.01659063813352
"253","9",25,"1.1.8",1.41792451449398
"254","9",25,"1.3.2",1.70055992220016
"255","9",25,"2.4.3",1.75608746755891
"256","9",30,"8.1.6",1.66797705542274
"257","9",30,"16.3.10",0.478309446048567
"258","9",30,"24.1.8",1.4025847391092
"259","9",33,"1.2.4",1.86589039763312
"260","9",33,"1.6.5",1.90877542047796
"261","9",33,"1.6.6",1.85598487573037
"262","9",35,"1.2.8",1.85033867455667
"263","9",35,"1.4.5",1.79483771391185
"264","9",35,"2.1.1",2.10259637365276
"265","9",39,"1.2.1",0.50482875589249
"266","9",39,"1.3.6",1.36056687482966
"267","9",39,"1.5.1",1.33064702677029
"268","9",43,"1.1.5",-0.339149832221009
"269","9",43,"1.2.8",-0.234402417931916
"270","9",43,"2.5.8",-0.242490721845333
"271","10",8,"1.4.1",0.109082271778944
"272","10",8,"1.5.10",-0.0121871454724854
"273","10",8,"2.5.10",0.0272855578180247
"274","10",14,"1.4.7",0.320149295751777
"275","10",14,"1.6.5",0.59823701547049
"276","10",14,"2.2.6",0.690999098073538
"277","10",20,"1.4.3",0.851164136349969
"278","10",20,"2.4.3",0.585188787952801
"279","10",20,"2.4.4",0.988697838603828
"280","10",25,"1.2.3",1.70595260008533
