"","Block","Mic","Parameter","mean","Rhat","n.eff"
"148",2,"7","cf.sigma",0.540813713886427,1.00072338059155,2000
"149",2,"7","cf.tmax",43.4352679034346,1.00588631554915,600
"150",2,"7","deviance",41.9840328660011,1.0006011379525,2000
"151",2,"8","cf.a",0.0916102063875363,2.60741377665847,3
"152",2,"8","cf.b",-0.653629741325316,2.30486167488028,3
"153",2,"8","cf.delta_t",6.69828828627744,2.08964421151836,4
"154",2,"8","cf.sigma",0.40232529831291,1.02374236917612,69
"155",2,"8","cf.tmax",43.3015027432357,1.7230861870711,5
"156",2,"8","deviance",25.3973863261524,1.21122672068926,11
"157",2,"9","cf.a",0.0928242271516634,1.11893305076469,39
"158",2,"9","cf.b",-0.587883448593431,1.03297143729572,100
"159",2,"9","cf.delta_t",8.65080331433328,1.13795360224648,28
"160",2,"9","cf.sigma",0.309593823960057,1.00939152088438,190
"161",2,"9","cf.tmax",43.4248390361149,1.00241098777844,790
"162",2,"9","deviance",11.5536751251383,1.02037133040244,84
"163",2,"10","cf.a",0.0894194223109766,1.28814974773302,13
"164",2,"10","cf.b",-0.703633721813221,1.0851336124303,25
"165",2,"10","cf.delta_t",9.0981967429326,1.28709181756812,23
"166",2,"10","cf.sigma",0.335687944410689,1.00265456284092,700
"167",2,"10","cf.tmax",43.4018136833138,1.04238311274912,42
"168",2,"10","deviance",15.925273672033,1.00791018356221,280
"169",2,"11","cf.a",0.096887994065194,1.2155794603468,64
"170",2,"11","cf.b",-0.681423006286199,1.04051527254548,1600
"171",2,"11","cf.delta_t",8.9462210308235,1.30555017630684,19
"172",2,"11","cf.sigma",0.327225753624165,1.00627310132043,280
"173",2,"11","cf.tmax",43.4631192588089,1.00480145017577,400
"174",2,"11","deviance",14.7697096601845,1.01675498161219,210
"175",2,"12","cf.a",0.097875629400913,1.08758768024553,1100
"176",2,"12","cf.b",-0.580466613342833,1.00768234094995,2000
"177",2,"12","cf.delta_t",9.21989569051788,1.15539712637356,86
"178",2,"12","cf.sigma",0.342489329541761,1.00247662603342,760
"179",2,"12","cf.tmax",43.415946985941,1.0018369188398,1300
"180",2,"12","deviance",17.1024468308119,1.00180401557569,1200
"181",2,"13","cf.a",0.0781030264630392,1.00054062047515,2000
"182",2,"13","cf.b",-0.852192181644345,1.00140674458335,2000
"183",2,"13","cf.delta_t",8.52455491437362,1.000754379239,2000
"184",2,"13","cf.sigma",0.384984569563474,1.00050319271924,2000
"185",2,"13","cf.tmax",43.5111148119861,1.00126307728424,2000
"186",2,"13","deviance",23.1214528700701,1.00108002185616,2000
"187",2,"14","cf.a",0.0932490007806835,1.50993307688594,7
"188",2,"14","cf.b",-0.674822613862902,1.27927837139007,10
"189",2,"14","cf.delta_t",8.07189539135132,1.4799601265053,8
"190",2,"14","cf.sigma",0.383315654282496,1.00687009659599,240
"191",2,"14","cf.tmax",43.4301185394837,1.07414391705945,26
"192",2,"14","deviance",23.0475314480746,1.05593264539121,34
"193",2,"15","cf.a",0.0764551857584077,1.04826046847253,37
"194",2,"15","cf.b",-0.819709615555238,1.02558232283839,65
"195",2,"15","cf.delta_t",6.79485493763083,1.02702923527471,68
"196",2,"15","cf.sigma",0.495912195603602,1.00427884832839,400
"197",2,"15","cf.tmax",43.4302912972488,1.02135156219796,98
"198",2,"15","deviance",36.8114060068702,1.01128536771023,140
"199",2,"all","cf.a",0.101499558413625,1.13810246053136,95
"200",2,"all","cf.b",-0.689953171457504,1.01510365619319,360
"201",2,"all","cf.delta_t",8.80757363198567,1.1896839582522,64
"202",2,"all","cf.sigma",0.355793496371215,1.00188794328186,2000
"203",2,"all","cf.tmax",43.4645796588169,1.00107701654206,2000
"204",2,"all","deviance",19.0812719228009,1.00755405518092,240
"205",1,"none","a",2.56976729105152,1.00111871046133,2000
"206",1,"none","b",0.830359707232861,1.00498228147695,2000
"207",1,"none","c",0.591158668514242,1.00544540345479,1800
"208",1,"none","deviance",-11.8317576097775,1.00115774060516,2000
"209",1,"1","a",1.87645780516766,1.0023652022417,800
"210",1,"1","b",0.701705605900134,1.00097647004617,2000
"211",1,"1","c",1.87677328137726,1.01907471519463,470
"212",1,"1","deviance",-37.2651984871914,1.00156509657509,1400
"213",1,"2","a",2.09193577166175,1.00062022365584,2000
"214",1,"2","b",0.548714256174621,1.00049851482602,2000
"215",1,"2","c",2.15228547915531,1.00051364052881,2000
"216",1,"2","deviance",19.5485691514773,1.00069959723645,2000
"217",1,"3","a",1.9778094588419,1.00093099182576,2000
"218",1,"3","b",1.21574936551317,1.00051491453854,2000
"219",1,"3","c",1.25783045186192,1.00421678038058,1300
"220",1,"3","deviance",23.419615490902,1.00235942878602,810
"221",1,"4","a",1.32822712494087,1.00133435851906,2000
"222",1,"4","b",2.17005112310487,1.00062712346506,2000
"223",1,"4","c",2.32018330449607,1.00096675491696,2000
