"","block","mic","rep","id","Parameter","est","se","p"
"121",1,"4",1,"b1.m4.r1","a",2.39518288980235,1.65593389380271,0.207697430728346
"122",1,"4",1,"b1.m4.r1","b",0.508405032631182,0.208689284268956,0.0589301321615155
"123",1,"4",1,"b1.m4.r1","c",0.720746762999453,2.81941674495534,0.808414592667728
"124",1,"14",3,"b1.m14.r3","a",1.87041560858955,0.647069653191534,0.0232964934109647
"125",1,"14",3,"b1.m14.r3","b",0.653864164513683,0.232275531556233,0.0259575242107064
"126",1,"14",3,"b1.m14.r3","c",1.71638908912157,1.28909264927172,0.224756130045955
"127",1,"3",2,"b1.m3.r2","a",2.47218021556918,2.0963678907426,0.276814678615476
"128",1,"3",2,"b1.m3.r2","b",0.526798452645024,0.306981698545706,0.129859932946664
"129",1,"3",2,"b1.m3.r2","c",1.07531385298551,3.48250921949989,0.766479227068755
"130",1,"12",1,"b1.m12.r1","a",2.5,0.911311044616156,0.0287807792973722
"131",1,"12",1,"b1.m12.r1","b",0.745272572062319,0.253210001816069,0.0216116915946725
"132",1,"12",1,"b1.m12.r1","c",1.2473075184413,1.16001756709886,0.317921873570694
"133",1,"2",2,"b1.m2.r2","a",2.5,2.98588342308813,0.434514714965849
"134",1,"2",2,"b1.m2.r2","b",0.380853227533011,0.225028438492237,0.141503353206206
"135",1,"2",2,"b1.m2.r2","c",0.325008030075579,6.12290970679495,0.959390837109975
"136",1,"11",1,"b1.m11.r1","a",2.5,0.934873170807485,0.0318073271834281
"137",1,"11",1,"b1.m11.r1","b",0.729239295901258,0.141116060332376,0.00129843822664244
"138",1,"11",1,"b1.m11.r1","c",0.183431773617986,1.02952907591144,0.863635632812541
"139",1,"none",1,"b1.mnone.r1","a",2.5,1.74093893886732,0.194142885275165
"140",1,"none",1,"b1.mnone.r1","b",0.524706139271222,0.195654925863206,0.0314574105824422
"141",1,"none",1,"b1.mnone.r1","c",0.438044185583483,2.67575303550808,0.874586869567663
"142",1,"3",3,"b1.m3.r3","a",2.5,2.29785044729672,0.312641650014933
"143",1,"3",3,"b1.m3.r3","b",0.552546127726081,0.296639021669562,0.104796985898886
"144",1,"3",3,"b1.m3.r3","c",0.606205832948897,3.43866445478699,0.865057123081454
"145",1,"8",2,"b1.m8.r2","a",2.5,1.4973201415843,0.138917473865464
"146",1,"8",2,"b1.m8.r2","b",0.567532101492145,0.199892111025524,0.0250736198014312
"147",1,"8",2,"b1.m8.r2","c",0.597385486897116,2.18640874735824,0.792564410016595
"148",1,"14",1,"b1.m14.r1","a",2.5,1.08848717280298,0.0552538183064317
"149",1,"14",1,"b1.m14.r1","b",0.804514824504405,0.276612187807293,0.0227104128265297
"150",1,"14",1,"b1.m14.r1","c",0.827949363944462,1.22577127197863,0.521069364070839
"151",1,"1",1,"b1.m1.r1","a",2.22569455336535,0.513508898267391,0.00341987239173629
"152",1,"1",1,"b1.m1.r1","b",0.598927338220951,0.11740813024872,0.00139757296430518
"153",1,"1",1,"b1.m1.r1","c",1.41481473687787,0.88697707362746,0.154720393177374
"154",2,"6",2,"b2.m6.r2","a",2.5,0.671703698879191,0.00743767771499643
