"","block","Chlamy","mic","nit","well.ID","r.exp"
"193",1,"y","2",50,"2.1.9",1.07639471404782
"194",1,"n","2",50,"4.4.3",-0.0901770578194973
"195",1,"y","2",50,"8.3.6",0.893103636836193
"196",1,"n","2",50,"9.3.10",-0.0865364027404762
"197",1,"n","2",50,"21.6.3",-0.32360060531525
"198",1,"y","2",50,"32.1.6",0.761741162176745
"199",2,"y","2",50,"6.6.2",0.958641351612936
"200",2,"y","2",50,"15.3.3",1.33968083562083
"201",2,"y","2",50,"26.1.10",1.33957205826087
"202",2,"n","2",50,"27.3.10",-0.0850994357691517
"203",2,"n","2",50,"30.5.6",-0.0805000549591365
"204",2,"n","2",50,"32.6.10",-0.153599784327646
"205",1,"n","2",0,"1.2.5",-0.0861331157674559
"206",1,"y","2",0,"10.1.5",-0.2198290650284
"207",1,"y","2",0,"19.2.7",-0.252847231382131
"208",1,"y","2",0,"26.6.9",-0.19952747220534
"209",1,"n","2",0,"28.5.5",-0.056717728491917
"210",1,"n","2",0,"29.1.7",-0.0991701692775134
"211",2,"y","2",0,"8.2.10",-0.0940299110380987
"212",2,"n","2",0,"12.1.4",-0.0718487678212547
"213",2,"n","2",0,"12.5.10",-0.109327211147604
"214",2,"n","2",0,"17.4.7",0.0110949790598524
"215",2,"y","2",0,"19.4.9",-0.177410586999847
"216",2,"y","2",0,"24.3.8",-0.145353477805183
"217",1,"n","2",25,"1.3.7",-0.113688373707025
"218",1,"n","2",25,"1.4.8",-0.106549984049288
"219",1,"y","2",25,"1.6.2",0.856718625772184
"220",1,"y","2",25,"7.1.9",1.11226012905073
"221",1,"y","2",25,"10.5.2",0.773873194790843
"222",1,"n","2",25,"12.3.3",-0.167301918423793
"223",2,"y","2",25,"1.1.7",1.18460095192562
"224",2,"n","2",25,"4.1.3",-0.0671372628260958
"225",2,"n","2",25,"4.2.1",-0.0832893641261141
"226",2,"y","2",25,"6.6.4",0.907362547270048
"227",2,"n","2",25,"10.5.1",-0.089937843811673
"228",2,"y","2",25,"23.2.4",0.639477641550723
"229",1,"y","2",10,"1.2.1",0.84911559275322
"230",1,"n","2",10,"14.6.10",-0.16154020141194
"231",1,"n","2",10,"15.5.8",-0.125561960641341
"232",1,"y","2",10,"17.2.10",0.607695487204274
"233",1,"n","2",10,"19.2.9",-0.138428115404771
"234",1,"y","2",10,"29.5.2",0.124914198004193
"235",2,"y","2",10,"4.2.6",-0.235584360648724
"236",2,"y","2",10,"7.4.2",-0.0892620152299595
"237",2,"n","2",10,"7.6.2",-0.125565109622075
"238",2,"n","2",10,"17.2.9",-0.121477370743451
"239",2,"y","2",10,"18.5.5",-0.142884647554016
"240",2,"n","2",10,"27.1.1",-0.122941699882831
"241",1,"y","2",1000,"1.2.8",1.54769913548077
"242",1,"n","2",1000,"2.2.9",-0.108441779881478
"243",1,"n","2",1000,"4.2.3",-0.112858544983166
"244",1,"n","2",1000,"10.2.3",-0.244098128839387
"245",1,"y","2",1000,"21.3.3",1.71731816111938
"246",1,"y","2",1000,"24.6.8",1.42530238095586
"247",2,"n","2",1000,"2.2.5",0.0234506210397357
"248",2,"n","2",1000,"6.6.3",-0.088510592791341
"249",2,"n","2",1000,"7.1.4",-0.0398851226901971
"250",2,"y","2",1000,"14.3.7",0.569719355693572
"251",2,"y","2",1000,"19.6.8",1.89604960431909
"252",2,"y","2",1000,"30.3.7",1.82514901569916
"253",1,"y","2",100,"2.5.1",1.32617119444973
"254",1,"y","2",100,"11.2.5",1.04211854551915
"255",1,"n","2",100,"11.4.2",1.97133472264328
"256",1,"n","2",100,"16.4.8",-0.21089766491183
"257",1,"n","2",100,"17.3.10",-0.139869416199283
"258",1,"y","2",100,"24.1.5",0.960879420204231
"259",2,"n","2",100,"1.3.4",-0.138698682950567
"260",2,"n","2",100,"3.5.6",-0.0912243802919604
"261",2,"y","2",100,"5.2.5",0.653517386632533
"262",2,"y","2",100,"10.2.9",0.19555841528861
"263",2,"y","2",100,"23.2.5",1.46475953543394
"264",2,"n","2",100,"23.4.8",-0.0959872367500651
"265",1,"n","2",5,"6.2.3",-0.0513181663003359
"266",1,"y","2",5,"10.5.10",-0.199883533032167
"267",1,"y","2",5,"14.6.1",0.235424691155285
"268",1,"y","2",5,"18.6.9",0.316312672521915
"269",1,"n","2",5,"25.1.7",-0.218545031856732
