"","block","Chlamy","mic","salt","well.ID","r.exp"
"145",1,"n","1",10.67,"5.5.7",-0.101323421430967
"146",1,"n","1",10.67,"10.1.1",-0.117348974151272
"147",1,"y","1",10.67,"16.2.6",-0.0271355041349802
"148",1,"n","1",10.67,"16.4.4",-0.424163128670098
"149",1,"y","1",10.67,"26.2.7",-0.0721980557792302
"150",1,"y","1",10.67,"32.5.7",-0.0710121724753362
"151",2,"y","1",10.67,"4.3.8",-0.205225701146375
"152",2,"y","1",10.67,"5.5.6",-0.131870108401122
"153",2,"y","1",10.67,"20.5.4",-0.153857017578387
"154",2,"n","1",10.67,"22.1.2",-0.181530530182922
"155",2,"n","1",10.67,"28.2.8",-0.138491505075322
"156",1,"y","1",6.67,"1.5.9",0.1985513888093
"157",1,"n","1",6.67,"8.1.10",-0.108841042234321
"158",1,"n","1",6.67,"9.5.10",-0.0694470713631914
"159",1,"y","1",6.67,"15.6.4",0.258331347332421
"160",1,"y","1",6.67,"21.1.3",0.169158196576753
"161",1,"n","1",6.67,"26.6.8",-0.133124422913987
"162",2,"y","1",6.67,"13.4.6",0.0808089669965946
"163",2,"y","1",6.67,"16.4.1",0.0570610238083292
"164",2,"n","1",6.67,"19.2.7",-0.141823058282858
"165",2,"y","1",6.67,"21.4.2",0.138912890323432
"166",2,"n","1",6.67,"23.1.6",-0.109077961187745
"167",2,"n","1",6.67,"25.3.1",-0.121585106823504
"168",1,"n","1",5.33,"4.1.10",-0.130267719737962
"169",1,"n","1",5.33,"7.5.1",-0.0955426000239465
"170",1,"y","1",5.33,"10.5.7",0.263164934885554
"171",1,"n","1",5.33,"15.4.5",-0.174849465119937
"172",1,"y","1",5.33,"16.3.9",0.213513943370878
"173",1,"y","1",5.33,"28.3.2",0.115669872772512
"174",2,"y","1",5.33,"1.6.6",0.391178511151725
"175",2,"y","1",5.33,"13.2.10",0.205792630202946
"176",2,"n","1",5.33,"14.1.6",-0.105563861853788
"177",2,"n","1",5.33,"17.6.2",-0.152400506573978
"178",2,"y","1",5.33,"21.1.1",0.135977453591638
"179",2,"n","1",5.33,"22.4.4",-0.120270157000748
"180",1,"n","2",9.33,"5.5.6",0.0605850743016547
"181",1,"y","2",9.33,"11.1.6",0.0415345069100034
"182",1,"y","2",9.33,"11.6.9",0.0274145167934237
"183",1,"n","2",9.33,"16.1.5",1.50283305528967
"184",1,"y","2",9.33,"20.3.10",-0.0574443571112556
"185",1,"n","2",9.33,"26.5.3",-0.148992040146174
"186",2,"n","2",9.33,"6.5.6",-0.0621197929110328
"187",2,"y","2",9.33,"8.1.5",-0.118272000836673
"188",2,"y","2",9.33,"9.4.2",0.0729837088910696
"189",2,"n","2",9.33,"11.2.4",-0.0851961023995269
"190",2,"n","2",9.33,"11.5.6",-0.0269155428399734
"191",2,"y","2",9.33,"15.6.4",0.0564220180864883
"192",1,"y","2",1.33,"5.3.10",1.35743656483485
"193",1,"n","2",1.33,"5.5.4",0.0605850748304988
"194",1,"n","2",1.33,"11.6.6",1.33006744325989
"195",1,"n","2",1.33,"23.5.3",-0.300194533553495
"196",1,"y","2",1.33,"25.5.6",1.32646824619143
"197",1,"y","2",1.33,"30.1.6",0.645815236901557
"198",2,"y","2",1.33,"7.2.1",1.3315999129837
"199",2,"n","2",1.33,"7.6.1",-0.048829557165671
"200",2,"y","2",1.33,"8.5.3",1.36444913712864
"201",2,"y","2",1.33,"20.1.3",1.42821882595196
"202",2,"n","2",1.33,"22.5.2",0.0830082113332089
"203",2,"n","2",1.33,"30.6.2",-0.12013853525531
"204",1,"y","2",2.67,"1.6.10",0.814286246627147
"205",1,"y","2",2.67,"6.5.4",0.818232320793074
"206",1,"y","2",2.67,"10.4.6",0.399834991179565
"207",1,"n","2",2.67,"13.4.8",-0.0673465415345844
"208",1,"n","2",2.67,"25.6.1",-0.206366542417304
"209",1,"n","2",2.67,"26.2.10",-0.146121451908748
"210",2,"y","2",2.67,"9.4.1",0.835627794008884
"211",2,"n","2",2.67,"20.5.2",-0.163075901204145
"212",2,"n","2",2.67,"22.1.5",-0.132101210747131
"213",2,"n","2",2.67,"22.5.10",-0.169966669783962
"214",2,"y","2",2.67,"24.6.9",0.253613361907394
