"","block","mic","rep","id","K.s.mod","K.s.post","K.s.min","K.s.max","K.s.na","r.max.mod","r.max.post","r.max.min","r.max.max","r.max.na","R.post","R.min","R.max","R.na"
"16",1,"none",2,"b1.mnone.r2",24.9458711368725,24.8481955837165,10.769127931451,44.3608393947899,0,1.58940120087419,1.58868389177749,1.35912595284719,1.79374465287923,0,13.5738143469926,6.43730392684626,21.6011068685848,0
"17",1,"3",2,"b1.m3.r2",15.6653137396168,16.8128701087594,4.77966164089357,37.8801086492439,0,1.29890641824954,1.29949546927233,1.05612941556807,1.53850301132284,0,12.7640108450103,4.97235185442993,25.4500440182358,0
"18",1,"9",2,"b1.m9.r2",16.4586842499073,18.0440276270675,4.10977910834008,35.9900881935004,0,1.1977291881108,1.16829682236785,0.977590523414644,1.38232749194829,0,16.5511749311734,6.42259648197264,29.3347946225731,0
"19",1,"10",1,"b1.m10.r1",21.1770168957133,22.2112550285625,8.57153179941693,42.1622572497033,0,1.38287975315789,1.37494173434896,1.15232672251321,1.5891073898305,0,15.2001079353714,7.28583522851163,25.7187556536766,0
"20",1,"2",2,"b1.m2.r2",15.5304580543753,15.8968308061253,6.05494629002007,29.8769112168949,0,1.31928392217266,1.30106927143908,1.11358475040023,1.51249065887908,0,12.0394376705063,5.84094163186978,20.291878885242,0
"21",1,"5",3,"b1.m5.r3",20.0836115405418,21.7527173710719,4.92848780500932,46.4563710630253,0,1.69832078585126,1.704739784815,1.35997503753256,2.0335693305194,0,10.5869710167719,3.29679396666283,20.2431472546182,0
"22",1,"1",2,"b1.m1.r2",17.2753630661613,19.0265076795452,1.73362524157031e-08,367.413295448459,0,0.996906599781291,1.05214267895382,0.414831037311956,1.64865060861365,0,23.9568432407934,-23.0939268685098,264.226149917785,0
"23",1,"10",2,"b1.m10.r2",11.9734360357556,12.174660983669,3.64254117345211,23.219131624107,0,1.42812572057029,1.43321338320498,1.20506365770547,1.66597178612032,0,7.68817398156819,3.15844211296476,13.9749936774188,0
"24",1,"13",2,"b1.m13.r2",38.6514490847391,42.3346341736668,22.5687772047897,66.0442971096081,0,1.651367455657,1.60825606863624,1.4154756625094,1.80836664304002,0,22.6591198071531,13.7305569903113,32.1819229639304,0
"25",1,"all",2,"b1.mall.r2",45.5180986815937,49.1053496542105,31.0878894766726,73.7998642694237,0,1.75538507667884,1.73642498585055,1.57136788137541,1.92442060076324,0,23.4126413755896,17.055095152162,33.2988687532158,0
