"","unique.id","temp","nit","salt","block","mic","plate","well","rep","µ"
"115","b1.t20.p2.w61",20,1000,0,1,"1",2,61,"3",0.108981240931007
"116","b1.t20.p2.w66",20,1000,0,1,"10",2,66,"2",0.163496988640241
"117","b1.t20.p2.w67",20,1000,0,1,"9",2,67,"1",0.0061674390655477
"118","b1.t20.p2.w72",20,1000,0,1,"6",2,72,"3",0.400119625579722
"119","b1.t20.p2.w74",20,1000,0,1,"8",2,74,"3",0.207552417554079
"120","b1.t20.p2.w75",20,1000,0,1,"13",2,75,"1",0.144971493796041
"121","b1.t20.p2.w79",20,1000,0,1,"2",2,79,"3",0.0746612156037175
"122","b1.t20.p2.w82",20,1000,0,1,"4",2,82,"1",0.169480923817722
"123","b1.t20.p2.w83",20,1000,0,1,"1",2,83,"1",0.157435493773979
"124","b1.t20.p2.w84",20,1000,0,1,"1",2,84,"2",0.523383188806223
"125","b1.t20.p2.w85",20,1000,0,1,"8",2,85,"1",0.511709014787013
"126","b1.t20.p2.w86",20,1000,0,1,"14",2,86,"3",0.204765678124832
"127","b1.t20.p2.w87",20,1000,0,1,"15",2,87,"1",0.472162804583015
"128","b1.t20.p2.w89",20,1000,0,1,"11",2,89,"3",0.467284958688298
"129","b1.t20.p2.w90",20,1000,0,1,"7",2,90,"1",0.379472562157233
"130","b1.t20.p2.w91",20,1000,0,1,"13",2,91,"3",0.611447848442188
"131","b1.t20.p2.w95",20,1000,0,1,"15",2,95,"2",0.312862126831671
"132","b1.t20.p2.w97",20,1000,0,1,"14",2,97,"2",0.408104468395418
"133","b1.t20.p2.w98",20,1000,0,1,"2",2,98,"1",0.577590444802511
"134","b1.t20.p2.w100",20,1000,0,1,"5",2,100,"1",0.375481595149745
"135","b1.t20.p2.w103",20,1000,0,1,"10",2,103,"3",0.668037635256347
"136","b1.t20.p2.w104",20,1000,0,1,"12",2,104,"2",0.572996803452065
"137","b1.t20.p2.w105",20,1000,0,1,"10",2,105,"1",0.507241897638703
"138","b1.t20.p2.w107",20,1000,0,1,"14",2,107,"1",0.246570940071679
"139","b1.t20.p2.w108",20,1000,0,1,"11",2,108,"1",0.22643240725389
"140","b1.t20.p2.w109",20,1000,0,1,"12",2,109,"3",0.0918844521020536
"141","b1.t20.p2.w110",20,1000,0,1,"all",2,110,"2",0.49512847587738
"142","b1.t20.p2.w111",20,1000,0,1,"8",2,111,"2",0.563215913531691
"143","b1.t20.p2.w114",20,1000,0,1,"6",2,114,"2",0.352457397115222
"144","b1.t20.p2.w118",20,1000,0,1,"5",2,118,"2",0.399464420570367
"145","b1.t25.p1.w3",25,1000,0,1,"14",1,3,"1",0.47549836957329
"146","b1.t25.p1.w4",25,1000,0,1,"2",1,4,"1",0.116020514266222
"147","b1.t25.p1.w6",25,1000,0,1,"3",1,6,"2",0.173367982544224
"148","b1.t25.p1.w7",25,1000,0,1,"11",1,7,"3",0.405475252742365
"149","b1.t25.p1.w15",25,1000,0,1,"13",1,15,"3",0.615424322408874
"150","b1.t25.p1.w21",25,1000,0,1,"5",1,21,"2",0.0680182428348158
"151","b1.t25.p1.w23",25,1000,0,1,"3",1,23,"3",0.280553135172998
"152","b1.t25.p1.w24",25,1000,0,1,"10",1,24,"2",0.192949282652225
"153","b1.t25.p1.w27",25,1000,0,1,"12",1,27,"3",0.684834934360952
"154","b1.t25.p1.w29",25,1000,0,1,"12",1,29,"1",0.564004055962948
"155","b1.t25.p1.w36",25,1000,0,1,"13",1,36,"1",0.559711920093142
"156","b1.t25.p1.w37",25,1000,0,1,"6",1,37,"1",0.395025515809393
"157","b1.t25.p1.w38",25,1000,0,1,"15",1,38,"1",0.502713352038279
"158","b1.t25.p1.w39",25,1000,0,1,"8",1,39,"3",0.602360939513613
"159","b1.t25.p1.w40",25,1000,0,1,"1",1,40,"3",0.398076045561251
"160","b1.t25.p1.w41",25,1000,0,1,"10",1,41,"3",0.255193773058205
"161","b1.t25.p1.w44",25,1000,0,1,"all",1,44,"1",0.262345853933776
"162","b1.t25.p1.w45",25,1000,0,1,"11",1,45,"2",0.0796171759857926
"163","b1.t25.p1.w56",25,1000,0,1,"7",1,56,"1",0.331343072185272
"164","b1.t25.p1.w59",25,1000,0,1,"10",1,59,"1",0.0767149404345388
"165","b1.t25.p2.w62",25,1000,0,1,"6",2,62,"2",0.00376117735571746
"166","b1.t25.p2.w63",25,1000,0,1,"5",2,63,"1",0.0548797872457982
"167","b1.t25.p2.w65",25,1000,0,1,"12",2,65,"2",0.026058228475262
"168","b1.t25.p2.w66",25,1000,0,1,"8",2,66,"1",0.152357799441441
