"","unique.id","temp","nit","salt","block","mic","plate","well","rep","µ","k","time"
"118","b1.t20.p1.w38",20,1000,0,1,"2",1,38,3,1.10891936065014,2.008,2.93166666666667
"119","b1.t20.p1.w39",20,1000,0,1,"14",1,39,3,1.09268009777032,1.648,1.79569444444444
"120","b1.t20.p1.w45",20,1000,0,1,"8",1,45,1,1.1237519584495,1.764,2.93166666666667
"121","b1.t20.p1.w47",20,1000,0,1,"none",1,47,2,1.06008979476483,1.989,1.79569444444444
"122","b1.t20.p1.w48",20,1000,0,1,"4",1,48,3,1.14989410003807,1.784,2.93166666666667
"123","b1.t20.p1.w49",20,1000,0,1,"all",1,49,3,1.02201712283316,1.973,2.12670138888889
"124","b1.t20.p1.w50",20,1000,0,1,"1",1,50,1,1.19751589335567,1.863,2.93166666666667
"125","b1.t20.p1.w51",20,1000,0,1,"7",1,51,1,1.15830836657271,1.696,2.93166666666667
"126","b1.t20.p1.w54",20,1000,0,1,"12",1,54,3,1.01739971955261,1.805,4.03009259259259
"127","b1.t20.p1.w55",20,1000,0,1,"1",1,55,3,1.15091632630176,1.315,2.93166666666667
"128","b1.t20.p1.w57",20,1000,0,1,"9",1,57,1,0.944422252767694,1.202,1.79569444444444
"129","b1.t20.p1.w58",20,1000,0,1,"5",1,58,2,1.05087617542505,1.609,2.93166666666667
"130","b1.t20.p2.w63",20,1000,0,1,"all",2,63,2,0.901050273257894,1.949,2.1287962962963
"131","b1.t20.p2.w64",20,1000,0,1,"2",2,64,2,1.22973009159569,1.968,2.93383101851852
"132","b1.t20.p2.w65",20,1000,0,1,"13",2,65,3,1.17109359073233,1.819,2.93383101851852
"133","b1.t20.p2.w69",20,1000,0,1,"7",2,69,2,1.07984733001542,1.301,2.93383101851852
"134","b1.t20.p2.w70",20,1000,0,1,"3",2,70,1,1.10727283792879,1.327,2.93383101851852
"135","b1.t20.p2.w71",20,1000,0,1,"3",2,71,2,1.02773677449034,1.976,4.03222222222222
"136","b1.t20.p2.w76",20,1000,0,1,"all",2,76,1,0.91330760251629,1.62,2.93383101851852
"137","b1.t20.p2.w77",20,1000,0,1,"12",2,77,2,1.22253184222685,1.575,2.93383101851852
"138","b1.t20.p2.w78",20,1000,0,1,"8",2,78,3,1.11243435325313,1.165,2.93383101851852
"139","b1.t20.p2.w80",20,1000,0,1,"3",2,80,3,1.21373642769525,0.951,2.93383101851852
"140","b1.t20.p2.w81",20,1000,0,1,"13",2,81,2,1.15615250818608,2.018,2.93383101851852
"141","b1.t20.p2.w88",20,1000,0,1,"5",2,88,3,1.14300535036514,1.744,2.93383101851852
"142","b1.t20.p2.w92",20,1000,0,1,"9",2,92,3,1.16272998729442,1.881,2.93383101851852
"143","b1.t20.p2.w93",20,1000,0,1,"10",2,93,3,1.12387284178666,2.009,2.93383101851852
"144","b1.t20.p2.w94",20,1000,0,1,"10",2,94,2,1.20793432712605,1.725,2.93383101851852
"145","b1.t20.p2.w96",20,1000,0,1,"11",2,96,2,0.69135152328812,1.78,1.79825231481481
"146","b1.t20.p2.w99",20,1000,0,1,"5",2,99,1,1.21538069935086,1.306,2.93383101851852
"147","b1.t20.p2.w102",20,1000,0,1,"15",2,102,1,1.19727531311841,1.698,2.93383101851852
"148","b1.t20.p2.w106",20,1000,0,1,"13",2,106,1,1.17825145178826,1.683,2.93383101851852
"149","b1.t20.p2.w113",20,1000,0,1,"7",2,113,3,1.20929100048783,1.851,2.93383101851852
"150","b1.t20.p2.w115",20,1000,0,1,"14",2,115,1,0.624587632768295,1.929,0.999965277777778
"151","b1.t20.p2.w116",20,1000,0,1,"4",2,116,1,1.1524656093819,1.993,2.93383101851852
"152","b1.t20.p2.w117",20,1000,0,1,"12",2,117,1,1.11991139333263,1.821,2.93383101851852
"153","b1.t20.p2.w120",20,1000,0,1,"8",2,120,2,1.19261499416236,1.258,2.93383101851852
"154","b1.t25.p1.w1",25,1000,0,1,"all",1,1,3,1.25904923705649,1.799,0.991921296296296
"155","b1.t25.p1.w2",25,1000,0,1,"11",1,2,3,1.22458284273857,1.908,1.78746527777778
"156","b1.t25.p1.w8",25,1000,0,1,"9",1,8,2,1.74711787598895,1.57,2.11513888888889
"157","b1.t25.p1.w9",25,1000,0,1,"14",1,9,1,1.66792244776498,1.81,2.11513888888889
"158","b1.t25.p1.w13",25,1000,0,1,"10",1,13,3,1.70595260033881,2.049,2.11513888888889
"159","b1.t25.p1.w14",25,1000,0,1,"11",1,14,2,1.05831510136942,1.908,1.78746527777778
"160","b1.t25.p1.w16",25,1000,0,1,"12",1,16,2,1.65349524356162,2.033,2.11513888888889
"161","b1.t25.p1.w18",25,1000,0,1,"5",1,18,1,1.70070049923742,2.036,2.11513888888889
"162","b1.t25.p1.w20",25,1000,0,1,"all",1,20,2,1.58419317906747,1.426,2.11513888888889
"163","b1.t25.p1.w22",25,1000,0,1,"9",1,22,1,1.70055992240442,2.009,2.11513888888889
"164","b1.t25.p1.w26",25,1000,0,1,"11",1,26,1,0.972357704284106,1.82,0.991921296296296
"165","b1.t25.p1.w30",25,1000,0,1,"13",1,30,2,1.66054827481137,1.516,2.11513888888889
"166","b1.t25.p1.w31",25,1000,0,1,"3",1,31,1,1.77036878181221,2.035,2.11513888888889
"167","b1.t25.p1.w33",25,1000,0,1,"4",1,33,2,1.85048332316537,1.965,2.11513888888889
"168","b1.t25.p1.w34",25,1000,0,1,"1",1,34,2,1.83497528089807,1.855,2.11513888888889
"169","b1.t25.p1.w35",25,1000,0,1,"14",1,35,2,1.91247151204755,2.013,2.11513888888889
"170","b1.t25.p1.w42",25,1000,0,1,"all",1,42,1,1.62915976065941,1.716,2.11513888888889
"171","b1.t25.p1.w46",25,1000,0,1,"13",1,46,3,1.23958866319452,1.534,0.991921296296296
"172","b1.t25.p1.w47",25,1000,0,1,"7",1,47,2,1.74120387873084,1.699,2.11513888888889
"173","b1.t25.p1.w48",25,1000,0,1,"none",1,48,3,1.63808103857945,1.752,2.11513888888889
"174","b1.t25.p1.w51",25,1000,0,1,"8",1,51,2,1.81261306070832,1.581,2.11513888888889
"175","b1.t25.p1.w53",25,1000,0,1,"15",1,53,3,1.81783982487777,1.69,2.11513888888889
"176","b1.t25.p1.w54",25,1000,0,1,"none",1,54,2,1.81292444251815,1.508,2.11513888888889
"177","b1.t25.p1.w55",25,1000,0,1,"none",1,55,1,1.82483542269891,1.516,2.11513888888889
"178","b1.t25.p1.w58",25,1000,0,1,"1",1,58,1,1.81432746055023,1.325,2.11513888888889
"179","b1.t25.p1.w60",25,1000,0,1,"15",1,60,2,1.8582880714392,1.32,2.11513888888889
"180","b1.t25.p2.w61",25,1000,0,1,"10",2,61,1,1.76677859589454,1.532,2.11729166666667
"181","b1.t25.p2.w64",25,1000,0,1,"1",2,64,3,1.87979503113459,1.98,2.11729166666667
"182","b1.t25.p2.w67",25,1000,0,1,"13",2,67,1,1.57033315787427,1.596,2.11729166666667
"183","b1.t25.p2.w72",25,1000,0,1,"4",2,72,3,1.85998354650596,1.964,2.11729166666667
"184","b1.t25.p2.w74",25,1000,0,1,"5",2,74,2,1.82306942249023,1.857,2.11729166666667
"185","b1.t25.p2.w80",25,1000,0,1,"2",2,80,3,1.77455726838102,1.858,2.11729166666667
"186","b1.t25.p2.w81",25,1000,0,1,"6",2,81,2,1.41011460782934,1.682,0.994074074074074
"187","b1.t25.p2.w82",25,1000,0,1,"3",2,82,2,1.74439169549594,1.817,2.11729166666667
"188","b1.t25.p2.w84",25,1000,0,1,"4",2,84,1,1.66596595147294,1.985,2.11729166666667
"189","b1.t25.p2.w89",25,1000,0,1,"12",2,89,1,1.71196839545519,1.714,2.11729166666667
"190","b1.t25.p2.w90",25,1000,0,1,"14",2,90,3,1.63647714123806,1.918,2.11729166666667
"191","b1.t25.p2.w91",25,1000,0,1,"6",2,91,1,1.77780649088972,1.995,2.11729166666667
"192","b1.t25.p2.w92",25,1000,0,1,"6",2,92,3,1.32201223474368,1.839,0.994074074074074
"193","b1.t25.p2.w93",25,1000,0,1,"9",2,93,3,1.52597400502777,1.966,0.994074074074074
"194","b1.t25.p2.w94",25,1000,0,1,"8",2,94,3,1.70035106990782,1.926,2.11729166666667
"195","b1.t25.p2.w98",25,1000,0,1,"3",2,98,3,1.59530939257198,1.899,2.11729166666667
"196","b1.t25.p2.w99",25,1000,0,1,"7",2,99,3,1.21545778118474,1.813,0.994074074074074
"197","b1.t25.p2.w101",25,1000,0,1,"7",2,101,1,1.68345597354415,1.896,2.11729166666667
"198","b1.t25.p2.w103",25,1000,0,1,"15",2,103,1,1.58065829249356,1.855,2.11729166666667
"199","b1.t25.p2.w105",25,1000,0,1,"2",2,105,1,1.77118590107163,1.677,2.11729166666667
"200","b1.t25.p2.w106",25,1000,0,1,"8",2,106,1,1.6039769034732,2.036,2.11729166666667
"201","b1.t25.p2.w114",25,1000,0,1,"10",2,114,2,1.75707687566016,2.027,2.11729166666667
"202","b1.t25.p2.w118",25,1000,0,1,"2",2,118,2,1.62376650897496,1.944,2.11729166666667
"203","b1.t25.p2.w120",25,1000,0,1,"5",2,120,3,1.5052718971973,1.795,2.11729166666667
"204","b1.t30.p1.w1",30,1,0,1,"all",1,1,1,-0.14286668723246,0.656,7.70672453703704
"205","b1.t30.p1.w4",30,50,0,1,"4",1,4,3,0.857941914312875,1.054,1.78086805555556
"206","b1.t30.p1.w6",30,0,0,1,"3",1,6,1,-0.0760528395368004,1.026,8.5265625
"207","b1.t30.p1.w9",30,25,0,1,"15",1,9,2,1.03847448942559,1.069,1.45543981481481
"208","b1.t30.p1.w10",30,25,0,1,"11",1,10,1,0.235188409792947,1.065,1.45543981481481
"209","b1.t30.p1.w11",30,10,0,1,"2",1,11,1,0.772665501596816,0.944,1.45543981481481
"210","b1.t30.p1.w13",30,25,0,1,"13",1,13,3,0.608775242287399,0.898,1.45543981481481
"211","b1.t30.p1.w16",30,1000,2.67,1,"13",1,16,3,0.729497332908902,1.145,2.4690625
"212","b1.t30.p1.w18",30,1000,0,1,"2",1,18,3,1.72900876841321,1.291,1.78086805555556
"213","b1.t30.p1.w19",30,1000,4,1,"1",1,19,2,0.318539489573623,1.22,1.78086805555556
"214","b1.t30.p1.w20",30,100,0,1,"12",1,20,2,1.4945722521665,1.095,1.78086805555556
"215","b1.t30.p1.w21",30,5,0,1,"14",1,21,2,0.355096786384536,1.039,1.45543981481481
"216","b1.t30.p1.w23",30,50,0,1,"all",1,23,1,0.118571814415946,1.087,1.45543981481481
"217","b1.t30.p1.w24",30,1000,2.67,1,"8",1,24,3,0.623063750027982,0.98,2.4690625
"218","b1.t30.p1.w25",30,10,0,1,"11",1,25,2,0.0873921289348859,1.137,1.45543981481481
"219","b1.t30.p1.w26",30,1000,0,1,"10",1,26,3,1.76101163875025,1.375,1.78086805555556
"220","b1.t30.p1.w28",30,25,0,1,"7",1,28,3,0.945313116484847,1.026,1.45543981481481
"221","b1.t30.p1.w29",30,1000,12,1,"9",1,29,3,-0.15479534760264,1.024,7.70672453703704
"222","b1.t30.p1.w30",30,1000,10.67,1,"13",1,30,3,1.76433095706911,1.298,1.78086805555556
"223","b1.t30.p1.w31",30,1000,9.33,1,"14",1,31,2,0.0241925541980911,1.06,2.4690625
"224","b1.t30.p1.w32",30,5,0,1,"3",1,32,3,0.199953817405952,1.053,1.45543981481481
"225","b1.t30.p1.w33",30,1000,6.67,1,"6",1,33,3,0.249869603190013,1.029,1.78086805555556
"226","b1.t30.p1.w34",30,1000,5.33,1,"5",1,34,2,0.278339776536891,1.04,1.78086805555556
"227","b1.t30.p1.w36",30,1000,9.33,1,"4",1,36,3,0.19059228559004,0.803,1.78086805555556
"228","b1.t30.p1.w37",30,1000,1.33,1,"15",1,37,3,1.08414478507152,1.115,1.78086805555556
"229","b1.t30.p1.w39",30,1000,4,1,"15",1,39,2,0.406422065972453,0.91,1.45543981481481
"230","b1.t30.p1.w40",30,400,0,1,"11",1,40,2,0.279623253819021,1.109,1.45543981481481
"231","b1.t30.p1.w43",30,1,0,1,"2",1,43,3,-0.133847392047383,1.02,8.5265625
"232","b1.t30.p1.w44",30,50,0,1,"none",1,44,3,1.12853585391684,1.142,1.78086805555556
"233","b1.t30.p1.w45",30,5,0,1,"none",1,45,2,0.165942431936066,1.258,1.45543981481481
"234","b1.t30.p1.w46",30,25,0,1,"3",1,46,2,0.942457287305689,1.121,1.45543981481481
"235","b1.t30.p1.w49",30,1000,6.67,1,"1",1,49,2,0.198551388914894,1.063,2.4690625
"236","b1.t30.p1.w50",30,10,0,1,"9",1,50,2,0.747941674933641,1.062,1.45543981481481
"237","b1.t30.p1.w51",30,1000,12,1,"15",1,51,3,-0.158133128947441,1.072,8.5265625
"238","b1.t30.p1.w52",30,25,0,1,"2",1,52,1,0.917416264064378,1.016,1.45543981481481
"239","b1.t30.p1.w55",30,1,0,1,"10",1,55,1,-0.0791144446440717,1.085,1.45543981481481
"240","b1.t30.p1.w60",30,1000,2.67,1,"2",1,60,1,0.892891050447961,1.154,2.4690625
"241","b1.t30.p2.w62",30,5,0,1,"11",2,62,2,0.342685489766663,1.195,5.5124537037037
"242","b1.t30.p2.w63",30,1000,6.67,1,"13",2,63,2,0.191361601926826,1.114,1.45782407407407
