"","block","mic","rep","id","T.min","T.min.min","T.min.max","T.min.na","T.max","T.max.min","T.max.max","T.max.na","T.opt","T.opt.min","T.opt.max","T.br","T.br.lwr","T.br.upr","r.max","r.max.min","r.max.max","T.br.min","T.br.min.min","T.br.min.max","T.br.min.na","T.br.max","T.br.max.min","T.br.max.max","T.br.max.na","a","b","tmax","d.t","a.mod","b.mod","tmax.mod","d.t.mod"
"11",1,"10",1,"b1.m10",2.44946079930402,-2.44062032990325,6.57374021139234,0,42.4254811697653,41.8497023027689,43.0913963836617,0,31.7063966732056,30.910591644152,32.5579717731863,23.4002772857346,21.4614888704967,25.5299890652492,1.7185921934295,1.55350790397507,1.8708716404378,16.4782297270178,14.3449972503854,18.4933699385247,0,39.8896475647913,39.2628549501674,40.4884242787015,0,0.0542972192032466,-0.989206324530948,44.3992241123763,9.36709742381763,0.0547141399934775,-0.997510689579942,44.4103481107063,9.17740104110053
"12",1,"9",2,"b1.m9",5.04019694402516,1.53611753324832,8.45147524267276,0,42.6014672470892,42.1280041492563,43.1409694912134,0,32.3758399819336,31.688860857921,33.0374013452712,22.1570348229776,20.6048388686734,23.8724954782704,1.82246771634054,1.68284454954333,1.96771779534099,18.0244392123732,16.3327558391402,19.7135754569928,0,40.1701602969689,39.7014935410633,40.6740314396256,0,0.0569068069396841,-1.1340715149048,44.5970266562328,9.16148681141069,0.0579694465907254,-1.12335974567237,44.5967750758336,8.98924066918404
"13",1,"all",3,"b1.mall",6.73552980204377,3.14416642126274,10.3091362564009,0,42.6979120828188,42.1593408393519,43.2876135303796,0,32.9380695426731,32.2269016458926,33.6149736832975,21.1552742459335,19.7063703375872,23.0118498443077,2.07750448256724,1.90404326581469,2.25866491584123,19.2333018348714,17.413153415987,20.828240477988,0,40.3756261103115,39.8783414445917,40.9528236745554,0,0.0602817494066725,-1.26132174305914,44.5531686343102,8.80015913289494,0.0619605010128267,-1.24578530549524,44.5596942983061,8.66962151968708
"14",1,"3",3,"b1.m3",4.43345222824626,1.48944436646467,6.87456852257928,0,42.7720492066503,42.4050183478092,43.1907746942823,0,32.4563374987972,31.9225883644458,32.9907780389878,22.4586894958954,21.2508995188703,23.7151964023772,1.87370302931578,1.76539453541047,1.97750522344208,17.8770964388681,16.6055402872225,19.1347613359821,0,40.3282417278511,39.9825335437258,40.7321500919519,0,0.0566840545774625,-1.11435071074182,44.696069252818,9.10917463926893,0.0577012740187168,-1.09516141897965,44.6885236183388,8.96864104121811
"15",1,"6",3,"b1.m6",3.65794563059801,1.23921945306723,5.89052271572474,0,42.7428292579243,42.4560216684798,43.0405523722059,0,32.4025363684774,31.9322177567031,32.8774693509391,22.7523362291654,21.784301603852,23.8150428600188,1.84292811475373,1.76377365792815,1.92120787213215,17.5515464089874,16.4941086225077,18.5443228277894,0,40.3044389202414,40.0155728973835,40.5952196685705,0,0.0511926598088095,-1.10149231966788,44.657082474963,8.40809083484651,0.0542621720501819,-1.07781803194692,44.6489732531202,8.58061764076432
"16",1,"13",2,"b1.m13",4.32625123251554,0.00604159622131178,8.4003184718663,0,42.3329669873885,41.7409999844306,42.945551548284,0,31.9563113629463,31.1650567582984,32.7766640736777,22.4096126676456,20.6861620311814,24.630827485318,1.75782226731881,1.59710010860543,1.91631729657264,17.4300079543759,15.3185273528076,19.4495095737251,0,39.8674437845083,39.2996808903229,40.463482284983,0,0.0574938074358161,-1.07647852679906,44.3526242444321,9.40143959356713,0.0578663667400289,-1.07753855728947,44.358380921064,9.20061392212067
"17",1,"5",2,"b1.m5",3.88126906239484,1.19648631303397,6.46569436365308,0,42.4158250419745,42.0716556537913,42.7515847871498,0,32.1475984798305,31.650452681325,32.6381318066567,22.3989845808791,21.2470352704528,23.6389679888554,1.96449204613274,1.85996658842656,2.06959978745325,17.5808454823831,16.2897688501842,18.7426124204662,0,39.9782543645306,39.644936871394,40.3101393378633,0,0.0604800431885344,-1.0673819886076,44.1961260011783,9.27990618229358,0.0607057564028531,-1.05644903273717,44.1882955368998,9.07219748160069
"18",3,"2",2,"b3.m2",4.30122267314577,0.214107125364106,7.8042424604868,0,42.6354607806392,42.0936851386342,43.1739998508798,0,32.2732476044901,31.5554180643484,32.9629831715768,22.493942144343,20.8101729090743,24.3183343175638,1.84462786256575,1.69934702790533,1.99073898596116,17.680580397444,15.7053544005001,19.3343732607373,0,40.1736123083968,39.688993000527,40.7076439217095,0,0.0575814824543523,-1.08113505096241,44.5615312246285,9.29498838527816,0.0583254178545501,-1.07822107177517,44.5608303318702,9.11222302946795
"19",3,"1",3,"b3.m1",5.24674723894809,1.54015963360337,8.32027264316,0,42.6462754634172,42.1503761208175,43.1665513821067,0,32.4417273121181,31.7601345479973,33.0878405199158,22.065783225466,20.5633586249173,23.7620639897636,1.84182341207578,1.69538849116531,1.97127252646665,18.1604686565693,16.4636961673332,19.7637520246622,0,40.2179463046933,39.7684883277398,40.7277883739937,0,0.0585830030504859,-1.13462555073215,44.6320915248432,9.31359937091212,0.0592264816441211,-1.1238651889376,44.6281929939961,9.09647708401935
"20",3,"all",1,"b3.mall",5.68938787911849,2.23481435620493,8.7769323162172,0,42.5320499425761,42.0551706165202,43.0310090239422,0,32.500202113412,31.8689861083245,33.1227771630885,21.6780660576091,20.1986886215435,23.2698787103109,1.9582223207236,1.81746252602823,2.11160351372511,18.4545602564603,16.8700587874148,20.0007349292802,0,40.1483076173491,39.7115667038541,40.653988594586,0,0.0617990542215158,-1.16451245471921,44.4222737283028,9.28194744036212,0.0620402373033399,-1.15360232226637,44.4233621780966,9.0780163361031
"21",3,"3",3,"b3.m3",4.74793557705783,0.583801766977234,8.43594941654211,0,42.5310312290371,41.9750414017015,43.1444627660579,0,32.2770355750651,31.5445960797392,33.0675276708443,22.2411509540053,20.4692116282735,24.1265631505577,1.84838416214555,1.67870558211345,2.00400377496055,17.8818407907543,15.9322246690922,19.6617554800737,0,40.0968125816382,39.5389912221523,40.6491318367638,0,0.0585001391024491,-1.10641116858825,44.4755964696496,9.29836573157969,0.0591272554429001,-1.10154792305669,44.4798046659465,9.09676798432421
"22",3,"12",2,"b3.m12",4.59082806851292,0.488021821085882,8.34838039459441,0,42.4965918854889,41.9647610641885,43.0921439661114,0,32.2157260664816,31.4497183560088,32.9327636011928,22.2845518320851,20.5202211650598,24.1974636971684,1.84102112757512,1.67746052246854,1.99234078752063,17.767538497839,15.7668468525253,19.5163397710057,0,40.0486736563,39.5101033847129,40.5969616833316,0,0.0586974375275754,-1.09351319697623,44.4350655176457,9.35167509599773,0.0591597954457538,-1.09128158484306,44.4409529444452,9.13876324198693
"23",3,"5",3,"b3.m5",5.3519873280378,1.70385541249178,8.71120422537148,0,42.5197876335115,42.0039571681162,43.0683877283284,0,32.3618298639998,31.6541670898073,32.9940497927428,21.9259133051787,20.3127284033744,23.606449818528,1.85567676389581,1.70096270099845,2.00534858801745,18.1730904797017,16.4687080274283,19.8847549001124,0,40.1017741166904,39.6140011493393,40.629214387574,0,0.0599439777025912,-1.13608399412305,44.4857966634665,9.37839853975327,0.0604269689827685,-1.12633526201801,44.4798304320319,9.14853068656221
"24",3,"7",1,"b3.m7",5.25189440869789,1.1154106648521,8.4349471883254,0,42.6431072984972,42.1034349462762,43.2269621242881,0,32.4675654476442,31.7922556269633,33.1978436807755,22.0152688973225,20.429571041994,23.8606381658563,1.85671756474171,1.70290395777076,2.00892741225066,18.2037407502541,16.2189001730962,19.7236069206464,0,40.2193822292997,39.6991897048585,40.7645468350759,0,0.0587799413615548,-1.13286060773822,44.5935034337237,9.29995465799521,0.0596092048061652,-1.12406677643842,44.5977112971007,9.06873030918143
"25",3,"9",3,"b3.m9",5.51249590222181,2.64149676451941,8.16061377317576,0,42.5600613140262,42.1599237881947,43.007987267211,0,32.403125366413,31.8407965040258,32.9526930687579,21.8799449687333,20.5662501103308,23.1887514395586,1.86699403606915,1.7462608948276,1.98376195456836,18.2617373488637,16.8792115848486,19.5521552433424,0,40.1421243381233,39.7368713276074,40.5530245852059,0,0.0595722091563829,-1.15763821875499,44.5307634535124,9.31012422269799,0.0603533988077625,-1.1407699306258,44.5226214146783,9.12975179144666
"26",3,"10",1,"b3.m10",4.85761948769647,0.806210875659092,8.45198726983669,0,42.5609768770539,42.0145656487623,43.122504515806,0,32.309030861666,31.573126532859,33.0103928567157,22.2055458275375,20.4469010566329,24.0707179840149,1.83887103760482,1.68093402999417,1.99523761106055,17.9185024803441,15.8450216777699,19.5683472775185,0,40.1280128879017,39.6260359397556,40.6727242235648,0,0.05778781565542,-1.11571648457484,44.5221592095136,9.24998584625594,0.0586219310260622,-1.1086713718421,44.5230860084979,9.05234404533471
"27",3,"8",1,"b3.m8",5.26087530356884,1.47686872816083,8.45440135431408,0,42.7961741405368,42.2509089065589,43.372171366709,0,32.5030024674488,31.8091839969804,33.1974684409559,22.17465527834,20.5599867131809,23.8888920219469,1.81104060637274,1.66731784895846,1.95344264440717,18.1644622720627,16.4156257159724,19.8082902948133,0,40.3462838774221,39.8119812224254,40.8765999355375,0,0.0583544804103117,-1.13265929043721,44.8206627743459,9.44576597004538,0.05894149129827,-1.12285249518626,44.8226504105602,9.23045008846658
