"","mic","salt","well.ID","r.exp"
"352","11",0,"26.5.3",1.92979443224632
"353","11",0,"30.4.4",1.92842512114981
"354","11",0,"31.3.1",1.99095979510705
"355","11",4,"2.3.4",0.451199512254717
"356","11",4,"7.4.7",0.397196178611398
"357","11",4,"31.6.7",0.182621588363036
"358","11",12,"11.5.3",-0.112972962860933
"359","11",12,"18.4.7",-0.115761027200155
"360","11",12,"28.5.5",-0.142255597659561
"361","12",5.33,"9.3.6",0.23657604556711
"362","12",5.33,"10.4.7",0.169663217554918
"363","12",5.33,"18.1.3",0.256755917500629
"364","12",1.33,"9.6.6",1.38288372619361
"365","12",1.33,"17.6.10",1.32155838977218
"366","12",1.33,"26.5.6",1.3547740593538
"367","12",10.67,"8.5.4",-0.138061921382895
"368","12",10.67,"16.1.6",-0.12379893425126
"369","12",10.67,"24.4.6",-0.154138991578649
"370","12",6.67,"15.3.9",0.0780062193272054
"371","12",6.67,"19.3.5",0.0847021388501696
"372","12",6.67,"24.3.10",0.0253059686179116
"373","12",2.67,"7.4.4",0.786977466839244
"374","12",2.67,"13.2.5",0.352846071942817
"375","12",2.67,"29.6.1",0.773377284469692
"376","12",9.33,"8.2.9",0.00968385442438852
"377","12",9.33,"29.1.4",0.428872419068616
"378","12",9.33,"30.2.2",-0.128036611826777
"379","12",8,"11.6.6",-0.144446157547445
"380","12",8,"26.2.2",-0.129937063099364
"381","12",8,"26.4.4",0.062067672099265
"382","12",0,"9.2.2",0.98872842566752
"383","12",0,"18.1.2",1.58360251725397
"384","12",0,"23.2.10",1.74590230654972
"385","12",4,"5.6.7",0.501325808290795
"386","12",4,"21.2.4",0.294990535958191
"387","12",4,"26.6.4",0.390135135892594
"388","12",12,"5.6.1",-0.172606505676107
"389","12",12,"9.2.4",-0.184911350044472
"390","12",12,"21.2.6",-0.145080906500108
"391","13",5.33,"6.1.3",0.441454504209313
"392","13",5.33,"11.1.10",0.110037786481082
"393","13",5.33,"12.2.9",0.202262628791844
"394","13",1.33,"6.5.1",1.45568913870478
"395","13",1.33,"10.6.1",1.3435001160695
"396","13",1.33,"25.4.4",1.33978256693128
"397","13",10.67,"2.5.2",-0.0906035128211211
"398","13",10.67,"18.2.3",-0.126710848541524
"399","13",10.67,"19.5.9",0.109396316167807
"400","13",6.67,"26.6.8",0.0434780243359388
"401","13",6.67,"28.2.10",0.204331431056861
"402","13",6.67,"31.5.6",0.0372305232649607
"403","13",2.67,"13.5.5",0.59218117808128
"404","13",2.67,"16.3.2",0.585010516315695
"405","13",2.67,"20.2.9",0.146173033625223
"406","13",9.33,"3.4.5",0.0874764308913891
"407","13",9.33,"11.2.2",0.13865782344138
"408","13",9.33,"24.3.9",-0.0957995476418155
"409","13",8,"20.5.8",0.123316107130393
"410","13",8,"26.6.10",0.0839420888517355
"411","13",8,"32.3.9",0.0224594840950785
"412","13",0,"23.6.3",1.65790977160378
"413","13",0,"24.4.5",1.63770312328204
